x,y,category,POI_count
1,1,74,4
1,1,48,4
1,1,79,2
1,1,69,2
1,1,73,1
1,1,59,1
1,1,58,1
1,2,61,2
1,2,80,1
1,2,48,1
1,2,76,1
1,2,60,1
1,3,74,4
1,3,81,2
1,3,48,2
1,3,82,2
1,3,54,1
1,3,56,1
1,3,58,1
1,3,73,1
1,3,36,1
1,3,60,1
1,4,73,3
1,4,81,2
1,4,63,1
1,4,48,1
1,4,79,1
1,4,74,1
1,4,69,1
1,5,74,2
1,5,60,1
1,5,48,1
1,5,69,1
1,5,62,1
1,5,76,1
1,5,79,1
1,6,48,5
1,6,81,3
1,6,74,3
1,6,73,3
1,6,76,1
1,6,60,1
1,7,48,4
1,7,79,2
1,7,54,1
1,7,63,1
1,7,74,1
1,7,84,1
1,7,60,1
1,8,48,3
1,8,74,2
1,8,60,2
1,8,73,1
1,8,79,1
1,8,56,1
1,8,57,1
1,8,51,1
1,8,71,1
1,8,38,1
1,8,69,1
1,8,65,1
1,8,81,1
1,8,67,1
1,8,18,1
1,8,4,1
1,8,20,1
1,9,48,7
1,9,66,5
1,9,51,4
1,9,79,4
1,9,74,3
1,9,76,3
1,9,54,2
1,9,34,2
1,9,61,2
1,9,65,2
1,9,81,2
1,9,36,2
1,9,63,2
1,9,4,2
1,9,57,1
1,9,59,1
1,9,35,1
1,9,47,1
1,9,33,1
1,9,69,1
1,9,75,1
1,9,62,1
1,9,82,1
1,9,64,1
1,9,21,1
1,10,47,5
1,10,82,5
1,10,73,5
1,10,48,4
1,10,51,2
1,10,66,2
1,10,79,2
1,10,60,2
1,10,57,2
1,10,69,2
1,10,62,2
1,10,72,1
1,10,13,1
1,10,36,1
1,10,59,1
1,10,53,1
1,10,4,1
1,10,56,1
1,10,34,1
1,10,33,1
1,11,48,4
1,11,4,4
1,11,81,3
1,11,5,1
1,11,66,1
1,11,46,1
1,11,18,1
1,11,14,1
1,11,63,1
1,11,69,1
1,11,2,1
1,11,21,1
1,11,76,1
1,11,36,1
1,11,47,1
1,12,81,3
1,12,76,1
1,12,59,1
1,12,74,1
1,12,79,1
1,13,62,1
1,13,51,1
1,13,63,1
1,13,82,1
1,13,81,1
1,14,54,1
1,14,73,1
1,14,5,1
1,16,81,2
1,16,83,1
1,16,76,1
1,17,81,3
1,17,60,2
1,17,84,2
1,17,54,2
1,17,63,2
1,17,75,1
1,18,74,3
1,18,63,1
1,18,79,1
1,18,81,1
1,18,73,1
1,19,81,1
1,20,48,1
1,21,74,2
1,21,79,1
1,21,73,1
1,22,70,1
1,23,76,2
1,23,70,2
1,23,69,1
1,23,62,1
1,23,63,1
1,23,81,1
1,24,74,2
1,24,76,2
1,24,59,2
1,24,47,1
1,24,81,1
1,25,51,5
1,25,63,3
1,25,61,2
1,25,66,2
1,25,33,2
1,25,65,1
1,25,11,1
1,25,76,1
1,25,80,1
1,25,36,1
1,25,81,1
1,25,52,1
1,25,18,1
1,25,47,1
1,26,74,1
1,26,73,1
1,26,34,1
1,26,81,1
1,26,18,1
1,26,43,1
1,28,60,2
1,28,69,1
1,28,63,1
1,29,47,1
1,29,18,1
1,29,73,1
1,30,60,2
1,30,84,2
1,30,81,2
1,30,74,2
1,30,63,2
1,30,62,1
1,30,47,1
1,30,79,1
1,30,59,1
1,30,75,1
1,30,73,1
1,31,63,5
1,31,81,4
1,31,69,4
1,31,60,3
1,31,59,3
1,31,75,2
1,31,79,2
1,31,62,2
1,31,84,1
1,31,57,1
1,31,82,1
1,31,53,1
1,31,4,1
1,31,40,1
1,31,61,1
1,31,66,1
1,31,17,1
1,31,76,1
1,31,67,1
1,31,74,1
1,31,48,1
1,32,60,5
1,32,79,3
1,32,66,2
1,32,69,2
1,32,54,2
1,32,36,2
1,32,62,2
1,32,48,2
1,32,81,2
1,32,63,1
1,32,9,1
1,32,76,1
1,32,14,1
1,32,17,1
1,32,4,1
1,32,39,1
1,32,19,1
1,32,23,1
1,32,5,1
1,32,26,1
1,32,11,1
1,33,59,11
1,33,81,8
1,33,76,4
1,33,63,4
1,33,75,4
1,33,54,4
1,33,38,3
1,33,69,3
1,33,21,3
1,33,18,3
1,33,62,3
1,33,73,2
1,33,41,2
1,33,34,2
1,33,79,2
1,33,57,1
1,33,47,1
1,33,17,1
1,33,82,1
1,33,53,1
1,33,14,1
1,33,49,1
1,33,83,1
1,33,5,1
1,33,19,1
1,33,9,1
1,33,80,1
1,33,40,1
1,34,59,9
1,34,4,5
1,34,60,4
1,34,81,3
1,34,51,3
1,34,76,3
1,34,47,3
1,34,73,3
1,34,57,2
1,34,84,2
1,34,48,2
1,34,55,2
1,34,36,2
1,34,66,2
1,34,69,1
1,34,33,1
1,34,14,1
1,34,74,1
1,34,8,1
1,34,83,1
1,34,85,1
1,34,58,1
1,34,79,1
1,34,64,1
1,34,70,1
1,34,53,1
1,34,38,1
1,34,61,1
1,34,54,1
1,34,62,1
1,35,69,8
1,35,48,7
1,35,60,6
1,35,81,6
1,35,59,5
1,35,57,5
1,35,54,5
1,35,4,4
1,35,39,4
1,35,76,4
1,35,41,4
1,35,51,3
1,35,47,3
1,35,62,3
1,35,53,3
1,35,66,2
1,35,55,2
1,35,58,2
1,35,40,2
1,35,83,2
1,35,79,2
1,35,73,2
1,35,7,1
1,35,36,1
1,35,46,1
1,35,74,1
1,35,38,1
1,35,13,1
1,36,60,7
1,36,74,5
1,36,81,4
1,36,69,4
1,36,73,2
1,36,48,2
1,36,59,2
1,36,63,1
1,36,75,1
1,36,84,1
1,36,53,1
1,36,62,1
1,36,47,1
1,36,80,1
1,36,57,1
1,36,70,1
1,36,4,1
1,36,38,1
1,36,79,1
1,36,76,1
1,37,60,4
1,37,63,3
1,37,54,2
1,37,76,2
1,37,34,2
1,37,48,1
1,37,9,1
1,37,57,1
1,37,81,1
1,37,79,1
1,37,66,1
1,37,74,1
1,37,47,1
1,37,38,1
1,37,41,1
1,38,74,4
1,38,79,3
1,38,84,2
1,38,48,2
1,38,60,2
1,38,18,2
1,38,76,2
