,support,itemsets,check_support
0,0.5590687977762335,frozenset({'Heavy Industry'}),0.5590687977762335
1,0.45825474039511566,frozenset({'Home Appliances'}),0.45825474039511566
2,0.45329097587610445,frozenset({'Building Material'}),0.45329097587610445
3,0.42852179092623843,frozenset({'Church'}),0.42852179092623843
4,0.40697905291372977,frozenset({'Transit Station'}),0.40697905291372977
5,0.3748138588305371,frozenset({'Hair Salon'}),0.3748138588305371
6,0.37267944008736226,frozenset({'Real Estate'}),0.37267944008736226
7,0.33515338032363745,frozenset({'Park'}),0.33515338032363745
8,0.33510374267844734,"frozenset({'Building Material', 'Heavy Industry'})",0.33510374267844734
9,0.3323240345478011,frozenset({'Accountant Office'}),0.3323240345478011
10,0.33192693338628015,"frozenset({'Heavy Industry', 'Home Appliances'})",0.33192693338628015
11,0.3186240444753301,frozenset({'Laundry '}),0.3186240444753301
12,0.31351136702074855,frozenset({'Driving School'}),0.31351136702074855
13,0.30174724511069195,"frozenset({'Building Material', 'Home Appliances'})",0.30174724511069195
14,0.29231609252457064,"frozenset({'Heavy Industry', 'Real Estate'})",0.29231609252457064
15,0.2860617492306165,"frozenset({'Hair Salon', 'Heavy Industry'})",0.2860617492306165
16,0.2844237069393428,frozenset({'Community Center'}),0.2844237069393428
17,0.2779211754194381,"frozenset({'Building Material', 'Real Estate'})",0.2779211754194381
18,0.2721632085773851,"frozenset({'Transit Station', 'Heavy Industry'})",0.2721632085773851
19,0.27201429564181473,"frozenset({'Hair Salon', 'Building Material'})",0.27201429564181473
20,0.26829147225255634,"frozenset({'Home Appliances', 'Real Estate'})",0.26829147225255634
21,0.2670008934776134,frozenset({'Hospital'}),0.2670008934776134
22,0.2669512558324233,"frozenset({'Hair Salon', 'Real Estate'})",0.2669512558324233
23,0.2658592276382408,"frozenset({'Church', 'Heavy Industry'})",0.2658592276382408
24,0.26422118534696715,"frozenset({'Hair Salon', 'Home Appliances'})",0.26422118534696715
25,0.258413580859724,"frozenset({'Accountant Office', 'Heavy Industry'})",0.258413580859724
26,0.2559316986002184,frozenset({'Café'}),0.2559316986002184
27,0.2547403951156557,"frozenset({'Transit Station', 'Building Material'})",0.2547403951156557
28,0.2518614116946292,frozenset({'Bank'}),0.2518614116946292
29,0.25126575995234784,"frozenset({'Heavy Industry', 'Laundry '})",0.25126575995234784
