,support,itemsets,check_support
0,0.5715164564749308,frozenset({'Transit Station'}),0.5715164564749308
1,0.48262073208243617,frozenset({'Park'}),0.48262073208243617
2,0.4727776068901876,frozenset({'Building Material'}),0.4727776068901876
3,0.4349430944324823,frozenset({'Home Appliances'}),0.4349430944324823
4,0.42694555521378036,frozenset({'Heavy Industry'}),0.42694555521378036
5,0.3961857889880037,frozenset({'Real Estate'}),0.3961857889880037
6,0.39218701937865275,"frozenset({'Park', 'Transit Station'})",0.39218701937865275
7,0.3857274684712396,frozenset({'Accountant Office'}),0.3857274684712396
8,0.3681944017225469,"frozenset({'Building Material', 'Transit Station'})",0.3681944017225469
9,0.3534297139341741,frozenset({'Elderly Care Home'}),0.3534297139341741
10,0.34943094432482313,"frozenset({'Real Estate', 'Transit Station'})",0.34943094432482313
11,0.34112580744386345,frozenset({'Hair Salon'}),0.34112580744386345
12,0.3383574284835435,"frozenset({'Park', 'Building Material'})",0.3383574284835435
13,0.337742233159028,"frozenset({'Home Appliances', 'Transit Station'})",0.337742233159028
14,0.33620424484773914,"frozenset({'Real Estate', 'Park'})",0.33620424484773914
15,0.3297446939403261,"frozenset({'Home Appliances', 'Building Material'})",0.3297446939403261
16,0.32605352199323284,frozenset({'Driving School'}),0.32605352199323284
17,0.32482313134420177,"frozenset({'Transit Station', 'Heavy Industry'})",0.32482313134420177
18,0.32020916641033526,"frozenset({'Accountant Office', 'Transit Station'})",0.32020916641033526
19,0.3180559827745309,"frozenset({'Real Estate', 'Building Material'})",0.3180559827745309
20,0.3171331897877576,frozenset({'Laundry '}),0.3171331897877576
21,0.3094432482313134,"frozenset({'Building Material', 'Heavy Industry'})",0.3094432482313134
22,0.3091356505690557,"frozenset({'Hair Salon', 'Transit Station'})",0.3091356505690557
23,0.3054444786219625,"frozenset({'Park', 'Home Appliances'})",0.3054444786219625
24,0.3032912949861581,"frozenset({'Real Estate', 'Park', 'Transit Station'})",0.3032912949861581
25,0.30175330667486927,"frozenset({'Elderly Care Home', 'Transit Station'})",0.30175330667486927
26,0.30144570901261153,frozenset({'Hospital'}),0.30144570901261153
27,0.30113811135035373,frozenset({'Bank'}),0.30113811135035373
28,0.2996001230390649,"frozenset({'Park', 'Building Material', 'Transit Station'})",0.2996001230390649
29,0.2977545370655183,"frozenset({'Accountant Office', 'Building Material'})",0.2977545370655183
30,0.29437096278068287,"frozenset({'Park', 'Accountant Office'})",0.29437096278068287
31,0.2931405721316518,"frozenset({'Hair Salon', 'Park'})",0.2931405721316518
32,0.29098738849584743,"frozenset({'Real Estate', 'Home Appliances'})",0.29098738849584743
33,0.2894494001845586,"frozenset({'Real Estate', 'Building Material', 'Transit Station'})",0.2894494001845586
34,0.28791141187326974,frozenset({'Retail Store'}),0.28791141187326974
35,0.2872962165487542,"frozenset({'Home Appliances', 'Heavy Industry'})",0.2872962165487542
36,0.28545063057520764,"frozenset({'Real Estate', 'Hair Salon'})",0.28545063057520764
37,0.2848354352506921,frozenset({'Fishing'}),0.2848354352506921
38,0.2820670562903722,"frozenset({'Park', 'Heavy Industry'})",0.2820670562903722
39,0.2817594586281144,"frozenset({'Elderly Care Home', 'Park'})",0.2817594586281144
40,0.28052906797908334,"frozenset({'Laundry ', 'Transit Station'})",0.28052906797908334
41,0.2802214703168256,"frozenset({'Home Appliances', 'Building Material', 'Transit Station'})",0.2802214703168256
42,0.2786834820055368,"frozenset({'Hospital', 'Transit Station'})",0.2786834820055368
43,0.278375884343279,"frozenset({'Real Estate', 'Accountant Office'})",0.278375884343279
44,0.27683789603199016,"frozenset({'Real Estate', 'Park', 'Building Material'})",0.27683789603199016
45,0.27499231005844355,"frozenset({'Bank', 'Transit Station'})",0.27499231005844355
46,0.27376191940941247,"frozenset({'Home Appliances', 'Accountant Office'})",0.27376191940941247
47,0.27222393109812365,"frozenset({'Elderly Care Home', 'Building Material'})",0.27222393109812365
48,0.27222393109812365,"frozenset({'Real Estate', 'Elderly Care Home'})",0.27222393109812365
49,0.2716087357736081,"frozenset({'Park', 'Home Appliances', 'Transit Station'})",0.2716087357736081
50,0.27130113811135037,"frozenset({'Hair Salon', 'Building Material'})",0.27130113811135037
51,0.2709935404490926,"frozenset({'Hair Salon', 'Park', 'Transit Station'})",0.2709935404490926
52,0.2697631498000615,"frozenset({'Park', 'Accountant Office', 'Transit Station'})",0.2697631498000615
53,0.26945555213780376,"frozenset({'Real Estate', 'Heavy Industry'})",0.26945555213780376
54,0.2673023685019994,"frozenset({'Real Estate', 'Hair Salon', 'Transit Station'})",0.2673023685019994
55,0.2645339895416795,"frozenset({'Accountant Office', 'Heavy Industry'})",0.2645339895416795
56,0.2642263918794217,"frozenset({'Accountant Office', 'Building Material', 'Transit Station'})",0.2642263918794217
57,0.26361119655490617,"frozenset({'Real Estate', 'Home Appliances', 'Transit Station'})",0.26361119655490617
58,0.2626884035681329,"frozenset({'Transit Station', 'Building Material', 'Heavy Industry'})",0.2626884035681329
59,0.25899723162103966,"frozenset({'Laundry ', 'Park'})",0.25899723162103966
60,0.2583820362965241,"frozenset({'Real Estate', 'Accountant Office', 'Transit Station'})",0.2583820362965241
61,0.2583820362965241,"frozenset({'Fishing', 'Transit Station'})",0.2583820362965241
62,0.25745924330975084,"frozenset({'Real Estate', 'Laundry '})",0.25745924330975084
63,0.2568440479852353,"frozenset({'Park', 'Hospital'})",0.2568440479852353
64,0.2568440479852353,"frozenset({'Real Estate', 'Hospital'})",0.2568440479852353
65,0.25622885266071976,frozenset({'Port'}),0.25622885266071976
66,0.255921254998462,"frozenset({'Park', 'Home Appliances', 'Building Material'})",0.255921254998462
67,0.2553060596739465,"frozenset({'Hair Salon', 'Building Material', 'Transit Station'})",0.2553060596739465
68,0.2549984620116887,"frozenset({'Real Estate', 'Park', 'Home Appliances'})",0.2549984620116887
69,0.2549984620116887,"frozenset({'Real Estate', 'Park', 'Building Material', 'Transit Station'})",0.2549984620116887
70,0.25469086434943095,"frozenset({'Driving School', 'Transit Station'})",0.25469086434943095
71,0.2540756690249154,"frozenset({'Real Estate', 'Park', 'Hair Salon'})",0.2540756690249154
72,0.25376807136265767,"frozenset({'Real Estate', 'Home Appliances', 'Building Material'})",0.25376807136265767
73,0.2531528760381421,frozenset({'Interior Shop'}),0.2531528760381421
74,0.2531528760381421,"frozenset({'Elderly Care Home', 'Park', 'Transit Station'})",0.2531528760381421
75,0.25284527837588433,frozenset({'Church'}),0.25284527837588433
76,0.2522300830513688,"frozenset({'Real Estate', 'Elderly Care Home', 'Transit Station'})",0.2522300830513688
77,0.25192248538911105,"frozenset({'Transit Station', 'Park', 'Heavy Industry'})",0.25192248538911105
