,rule,lift
0,Hair Salon -> Laundry ,3.4906898222687697
1,Laundry  -> Hair Salon,3.4906898222687697
2,Real Estate -> Hair Salon,3.3802718102020575
3,Hair Salon -> Real Estate,3.3802718102020575
4,"Hair Salon -> Transit Station, Building Material",3.261651481553463
5,"Transit Station, Building Material -> Hair Salon",3.261651481553463
6,Real Estate -> Accountant Office,3.0635047436121297
7,Accountant Office -> Real Estate,3.063504743612129
8,Accountant Office -> Hair Salon,2.741765785701712
9,Hair Salon -> Accountant Office,2.741765785701712
10,Real Estate -> Building Material,2.734852029477132
11,Building Material -> Real Estate,2.734852029477132
12,"Building Material -> Heavy Industry, Home Appliances",2.721097310903136
13,"Heavy Industry, Home Appliances -> Building Material",2.721097310903136
14,"Transit Station, Hair Salon -> Building Material",2.7112266851446707
15,"Building Material -> Transit Station, Hair Salon",2.7112266851446707
16,Home Appliances -> Real Estate,2.664102388432691
17,Real Estate -> Home Appliances,2.664102388432691
18,"Transit Station, Home Appliances -> Building Material",2.657898455543896
19,"Building Material -> Transit Station, Home Appliances",2.657898455543896
20,"Heavy Industry, Building Material -> Home Appliances",2.6371184026183494
21,"Home Appliances -> Heavy Industry, Building Material",2.637118402618349
22,"Home Appliances -> Transit Station, Building Material",2.515631389289947
23,"Transit Station, Building Material -> Home Appliances",2.5156313892899465
24,Building Material -> Laundry ,2.5138283914982944
25,Laundry  -> Building Material,2.5138283914982944
26,"Transit Station, Heavy Industry -> Building Material",2.4900589956798442
27,"Building Material -> Transit Station, Heavy Industry",2.4900589956798442
28,Building Material -> Hair Salon,2.4058344142656867
29,Hair Salon -> Building Material,2.4058344142656867
30,Laundry  -> Home Appliances,2.401342569214218
31,Home Appliances -> Laundry ,2.401342569214218
32,"Home Appliances -> Transit Station, Heavy Industry",2.388716418473997
33,"Transit Station, Heavy Industry -> Home Appliances",2.388716418473997
34,Hair Salon -> Home Appliances,2.3727383822300236
35,Home Appliances -> Hair Salon,2.372738382230023
36,"Heavy Industry -> Building Material, Home Appliances",2.31784356323867
37,"Building Material, Home Appliances -> Heavy Industry",2.31784356323867
38,Driving School -> Building Material,2.2951641608384072
39,Building Material -> Driving School,2.2951641608384072
40,Building Material -> Accountant Office,2.260699838187702
41,Accountant Office -> Building Material,2.260699838187702
42,"Hair Salon, Building Material -> Transit Station",2.259530757696927
43,"Transit Station -> Hair Salon, Building Material",2.259530757696927
44,Heavy Industry -> Real Estate,2.237579721458258
45,Real Estate -> Heavy Industry,2.237579721458258
46,Park -> Building Material,2.2280254965030837
47,Building Material -> Park,2.2280254965030837
48,"Heavy Industry -> Transit Station, Home Appliances",2.2210109190241005
49,"Transit Station, Home Appliances -> Heavy Industry",2.2210109190241
50,Bank -> Transit Station,2.2143919155656087
51,Transit Station -> Bank,2.2143919155656087
52,Heavy Industry -> Laundry ,2.20316663580277
53,Laundry  -> Heavy Industry,2.20316663580277
54,"Heavy Industry -> Transit Station, Building Material",2.191312701571399
55,"Transit Station, Building Material -> Heavy Industry",2.191312701571399
56,Accountant Office -> Home Appliances,2.181262141065941
57,Home Appliances -> Accountant Office,2.181262141065941
58,Heavy Industry -> Driving School,2.1730871639833027
59,Driving School -> Heavy Industry,2.1730871639833027
60,Park -> Home Appliances,2.1627312660031257
61,Home Appliances -> Park,2.1627312660031257
62,Heavy Industry -> Hair Salon,2.1180469273547264
63,Hair Salon -> Heavy Industry,2.1180469273547264
64,Home Appliances -> Building Material,2.0898327720510332
65,Building Material -> Home Appliances,2.0898327720510332
66,Laundry  -> Transit Station,2.077495594314607
67,Transit Station -> Laundry ,2.077495594314607
68,Heavy Industry -> Accountant Office,2.034978597971119
69,Accountant Office -> Heavy Industry,2.0349785979711186
70,Real Estate -> Transit Station,2.0152297183860366
71,Transit Station -> Real Estate,2.0152297183860366
72,"Transit Station -> Home Appliances, Building Material",2.0062354812170557
73,"Home Appliances, Building Material -> Transit Station",2.0062354812170557
74,Transit Station -> Hair Salon,2.005017465615946
75,Hair Salon -> Transit Station,2.0050174656159454
76,Transit Station -> Grocery Store,1.9897439256133238
77,Grocery Store -> Transit Station,1.9897439256133238
78,"Heavy Industry, Building Material -> Transit Station",1.9883130646742442
79,"Transit Station -> Heavy Industry, Building Material",1.9883130646742442
80,"Heavy Industry, Home Appliances -> Transit Station",1.9681317514955543
81,"Transit Station -> Heavy Industry, Home Appliances",1.968131751495554
82,Transit Station -> Driving School,1.9341629401707738
83,Driving School -> Transit Station,1.9341629401707736
84,Heavy Industry -> Building Material,1.8368175786624839
85,Building Material -> Heavy Industry,1.8368175786624839
86,Park -> Transit Station,1.830245105938443
87,Transit Station -> Park,1.830245105938443
88,Transit Station -> Accountant Office,1.7813230267864242
89,Accountant Office -> Transit Station,1.781323026786424
90,Home Appliances -> Heavy Industry,1.7801294424623184
91,Heavy Industry -> Home Appliances,1.7801294424623184
92,Transit Station -> Building Material,1.6666577921347983
93,Building Material -> Transit Station,1.6666577921347983
94,Building Material -> Community Center,1.6319175455952961
95,Community Center -> Building Material,1.6319175455952961
96,Transit Station -> Home Appliances,1.5774480203913626
97,Home Appliances -> Transit Station,1.5774480203913623
98,Community Center -> Home Appliances,1.5697398382880932
99,Home Appliances -> Community Center,1.5697398382880932
100,Community Center -> Transit Station,1.4788320445745309
101,Transit Station -> Community Center,1.4788320445745307
102,Hair Salon -> Church,1.4711557475715096
103,Church -> Hair Salon,1.4711557475715096
104,Transit Station -> Heavy Industry,1.4666995422254248
105,Heavy Industry -> Transit Station,1.4666995422254245
106,Community Center -> Heavy Industry,1.3851648669909136
107,Heavy Industry -> Community Center,1.3851648669909136
108,Church -> Community Center,1.2375854094556307
109,Community Center -> Church,1.2375854094556307
110,Home Appliances -> Church,1.1652778575671066
111,Church -> Home Appliances,1.1652778575671066
112,Church -> Building Material,1.159485359344353
113,Building Material -> Church,1.1594853593443528
114,Church -> Heavy Industry,1.066318509683529
115,Heavy Industry -> Church,1.0663185096835288
116,Transit Station -> Church,1.0528625935846876
117,Church -> Transit Station,1.0528625935846876
