,rule,lift
0,"Hair Salon -> Real Estate, Transit Station",2.2424711705762075
1,"Real Estate, Transit Station -> Hair Salon",2.2424711705762075
2,"Hair Salon -> Real Estate, Park",2.2153650948696395
3,"Real Estate, Park -> Hair Salon",2.215365094869639
4,"Real Estate -> Hair Salon, Park",2.187702449929285
5,"Hair Salon, Park -> Real Estate",2.187702449929285
6,"Hair Salon, Transit Station -> Real Estate",2.182502858378913
7,"Real Estate -> Hair Salon, Transit Station",2.182502858378913
8,"Real Estate, Transit Station -> Park, Building Material",2.1567533610755443
9,"Park, Building Material -> Real Estate, Transit Station",2.1567533610755443
10,Hospital -> Real Estate,2.1506092343769803
11,Real Estate -> Hospital,2.1506092343769803
12,"Real Estate -> Park, Building Material, Transit Station",2.1483086650426615
13,"Park, Building Material, Transit Station -> Real Estate",2.1483086650426615
14,Hair Salon -> Real Estate,2.1121148816291324
15,Real Estate -> Hair Salon,2.1121148816291324
16,"Real Estate -> Elderly Care Home, Transit Station",2.1098226552953316
17,"Elderly Care Home, Transit Station -> Real Estate",2.1098226552953316
18,"Home Appliances, Park -> Real Estate",2.107203061179811
19,"Real Estate -> Home Appliances, Park",2.107203061179811
20,"Real Estate -> Park, Building Material",2.065146809712027
21,"Park, Building Material -> Real Estate",2.065146809712027
22,"Real Estate, Park -> Building Material, Transit Station",2.059952412290256
23,"Building Material, Transit Station -> Real Estate, Park",2.0599524122902557
24,Real Estate -> Laundry ,2.049122392177889
25,Laundry  -> Real Estate,2.049122392177889
26,"Real Estate, Building Material -> Park, Transit Station",2.0442818674858723
27,"Park, Transit Station -> Real Estate, Building Material",2.0442818674858723
28,"Real Estate, Transit Station -> Elderly Care Home",2.042360779122078
29,"Elderly Care Home -> Real Estate, Transit Station",2.042360779122078
30,"Real Estate -> Accountant Office, Transit Station",2.0367121914547046
31,"Accountant Office, Transit Station -> Real Estate",2.0367121914547046
32,"Hair Salon -> Building Material, Transit Station",2.032681643995772
33,"Building Material, Transit Station -> Hair Salon",2.032681643995772
34,"Park, Transit Station -> Hair Salon",2.025588146890857
35,"Hair Salon -> Park, Transit Station",2.0255881468908568
36,"Real Estate -> Building Material, Transit Station",1.9842508704473398
37,"Building Material, Transit Station -> Real Estate",1.9842508704473398
38,"Home Appliances, Transit Station -> Real Estate",1.9700606127459295
39,"Real Estate -> Home Appliances, Transit Station",1.9700606127459295
40,"Real Estate -> Park, Transit Station",1.9519461697722562
41,"Park, Transit Station -> Real Estate",1.9519461697722562
42,Real Estate -> Elderly Care Home,1.944125731800269
43,Elderly Care Home -> Real Estate,1.944125731800269
44,"Home Appliances, Building Material -> Real Estate",1.9424966105033836
45,"Real Estate -> Home Appliances, Building Material",1.9424966105033834
46,"Accountant Office -> Real Estate, Transit Station",1.916992384931599
47,"Real Estate, Transit Station -> Accountant Office",1.9169923849315988
