Pattern
"((131, 76), (130, 76))"
"((102, 111), (103, 110))"
"((131, 76), (131, 76))"
"((89, 105), (88, 103))"
"((136, 60), (137, 61))"
"((133, 66), (133, 66))"
"((130, 76), (130, 76))"
"((87, 106), (89, 105))"
"((63, 165), (63, 165))"
"((130, 76), (131, 76))"
"((137, 61), (137, 61))"
"((135, 82), (135, 82))"
"((88, 105), (88, 105))"
"((87, 106), (88, 105))"
"((135, 81), (135, 82))"
"((89, 105), (88, 105))"
"((95, 115), (95, 115))"
"((88, 105), (87, 106))"
"((88, 105), (89, 105))"
"((136, 60), (136, 60))"
"((89, 105), (89, 105))"
"((137, 61), (136, 60))"
"((88, 103), (89, 105))"
"((113, 36), (113, 36))"
"((96, 129), (96, 129))"
"((135, 82), (135, 81))"
"((135, 81), (135, 81))"
"((133, 66), (132, 66))"
"((88, 105), (89, 105), (89, 105))"
"((99, 116), (99, 115))"
"((195, 131), (196, 131))"
"((65, 141), (64, 140))"
"((105, 188), (104, 190))"
"((99, 115), (99, 116))"
"((65, 141), (65, 141))"
"((196, 131), (196, 131))"
"((104, 190), (104, 190))"
"((105, 188), (105, 188))"
"((101, 128), (101, 127))"
"((195, 131), (195, 131))"
"((102, 120), (102, 120))"
"((104, 190), (105, 188))"
"((64, 140), (64, 140))"
"((196, 131), (195, 131))"
"((64, 140), (65, 141))"
"((99, 115), (99, 115))"
"((65, 141), (64, 140), (64, 140))"
"((191, 54), (191, 55))"
"((177, 113), (178, 114))"
"((128, 88), (128, 89))"
"((173, 47), (173, 47))"
"((73, 101), (74, 99))"
"((33, 142), (33, 142))"
"((19, 119), (19, 119))"
"((19, 119), (19, 118))"
"((63, 118), (63, 118))"
"((19, 118), (19, 119))"
"((184, 82), (184, 82))"
"((66, 147), (66, 147))"
"((174, 47), (173, 47))"
"((184, 82), (183, 81))"
"((95, 95), (96, 94))"
"((19, 117), (19, 119))"
"((128, 89), (128, 88))"
"((178, 114), (178, 114))"
"((19, 117), (19, 117))"
"((173, 47), (174, 47))"
"((96, 94), (96, 94))"
"((159, 77), (158, 78))"
"((19, 119), (19, 117))"
"((19, 118), (19, 117))"
"((180, 61), (180, 62))"
"((100, 92), (99, 93))"
"((94, 125), (94, 125))"
"((87, 128), (86, 128))"
"((94, 125), (95, 125))"
"((180, 61), (180, 61))"
"((180, 62), (180, 62))"
"((27, 156), (27, 156))"
"((86, 128), (87, 128))"
"((99, 93), (100, 92))"
"((96, 15), (96, 15))"
"((180, 62), (180, 61))"
"((100, 93), (100, 93))"
"((100, 93), (100, 92))"
"((100, 92), (100, 93))"
"((100, 92), (100, 92))"
"((99, 93), (99, 93))"
"((95, 125), (94, 125))"
"((99, 93), (100, 93))"
"((86, 128), (86, 128))"
"((100, 93), (99, 93))"
"((180, 62), (180, 62), (180, 61))"
"((180, 61), (180, 62), (180, 62))"
"((180, 61), (180, 62), (180, 61))"
"((94, 131), (94, 131))"
"((86, 120), (86, 121))"
"((31, 165), (31, 165))"
"((30, 164), (31, 165))"
"((188, 113), (189, 113))"
"((97, 82), (98, 83))"
"((155, 26), (155, 27))"
"((87, 120), (86, 121))"
"((94, 131), (94, 132))"
"((189, 113), (189, 113))"
"((86, 121), (87, 120))"
"((189, 113), (188, 113))"
"((156, 27), (155, 26))"
"((94, 132), (94, 132))"
"((155, 26), (155, 26))"
"((94, 132), (94, 131))"
"((174, 52), (174, 52))"
"((86, 121), (86, 121))"
"((31, 165), (30, 164))"
"((30, 164), (30, 164))"
"((155, 27), (155, 26))"
"((155, 26), (156, 27))"
"((94, 131), (94, 131), (94, 132))"
"((94, 131), (94, 132), (94, 131))"
"((94, 131), (94, 132), (94, 132))"
"((94, 132), (94, 132), (94, 131))"
"((129, 13), (129, 13))"
"((190, 51), (190, 51))"
"((185, 51), (185, 52))"
"((178, 43), (178, 45))"
"((199, 65), (199, 65))"
"((174, 31), (174, 31))"
"((199, 65), (199, 64))"
"((199, 64), (199, 65))"
"((178, 44), (178, 43))"
"((199, 64), (199, 64))"
"((178, 43), (178, 44))"
"((178, 43), (178, 43))"
"((189, 51), (190, 51))"
"((178, 44), (178, 45))"
"((188, 29), (188, 29))"
"((178, 45), (178, 43))"
"((178, 44), (178, 44))"
"((189, 51), (189, 51))"
"((178, 45), (178, 45))"
"((39, 186), (39, 186))"
"((132, 82), (132, 82))"
"((185, 52), (185, 51))"
"((190, 51), (189, 51))"
"((178, 45), (178, 44))"
"((97, 91), (97, 91))"
"((199, 65), (199, 65), (199, 64))"
"((178, 44), (178, 43), (178, 44))"
"((199, 65), (199, 64), (199, 65))"
"((199, 65), (199, 64), (199, 64))"
"((199, 65), (199, 65), (199, 64), (199, 65))"
"((199, 65), (199, 65), (199, 64), (199, 64))"
"((21, 4), (21, 3))"
"((113, 127), (113, 126))"
"((21, 3), (20, 4))"
"((21, 3), (21, 3))"
"((195, 28), (195, 28))"
"((162, 79), (162, 79))"
"((102, 119), (102, 119))"
"((198, 181), (198, 181))"
"((195, 28), (196, 27))"
"((102, 120), (102, 119))"
"((20, 4), (21, 3))"
"((102, 119), (102, 120))"
"((173, 28), (173, 29))"
"((138, 47), (138, 47))"
"((138, 47), (138, 46))"
"((138, 46), (138, 47))"
"((96, 83), (96, 82))"
"((138, 46), (138, 46))"
"((91, 71), (91, 72))"
"((173, 29), (173, 29))"
"((172, 28), (173, 29))"
"((119, 146), (120, 146))"
"((140, 89), (140, 89))"
"((119, 146), (119, 146))"
"((91, 72), (91, 72))"
"((120, 146), (120, 146))"
"((97, 82), (97, 82))"
"((120, 146), (119, 146))"
"((97, 82), (96, 82))"
"((173, 28), (173, 28))"
"((96, 82), (97, 82))"
"((91, 71), (91, 71))"
"((96, 82), (96, 82))"
"((173, 29), (173, 28))"
"((71, 113), (72, 113))"
"((91, 72), (91, 71))"
"((138, 46), (139, 46))"
"((138, 47), (138, 47), (138, 46))"
"((138, 47), (138, 46), (138, 46))"
"((119, 146), (120, 146), (120, 146))"
"((138, 47), (138, 46), (138, 47))"
"((173, 28), (173, 29), (173, 28))"
"((119, 146), (120, 146), (119, 146))"
"((120, 146), (120, 146), (119, 146))"
"((91, 71), (91, 72), (91, 71))"
"((91, 71), (91, 72), (91, 72))"
"((91, 72), (91, 72), (91, 71))"
"((119, 146), (120, 146), (120, 146), (119, 146))"
"((138, 59), (138, 59))"
"((161, 132), (161, 132))"
"((72, 186), (72, 185))"
"((89, 102), (90, 101))"
"((90, 101), (89, 102))"
"((85, 98), (85, 97))"
"((139, 59), (139, 58))"
"((139, 58), (139, 59))"
"((139, 58), (139, 58))"
"((59, 138), (60, 138))"
"((161, 131), (161, 131))"
"((85, 97), (85, 97))"
"((139, 58), (138, 59))"
"((90, 101), (90, 101))"
"((85, 98), (85, 98))"
"((161, 132), (161, 131))"
"((139, 59), (138, 59))"
"((161, 131), (161, 132))"
"((85, 97), (85, 98))"
"((138, 59), (139, 59))"
"((138, 59), (139, 58))"
"((89, 102), (89, 102))"
"((161, 131), (161, 131), (161, 132))"
"((139, 59), (138, 59), (139, 58))"
"((133, 137), (133, 137))"
"((188, 53), (188, 53))"
"((187, 53), (187, 53))"
"((187, 53), (188, 53))"
"((133, 138), (133, 137))"
"((188, 53), (187, 53))"
"((133, 137), (133, 138))"
"((186, 70), (185, 69))"
"((149, 124), (149, 124))"
"((186, 70), (186, 70))"
"((186, 70), (186, 69))"
"((186, 69), (186, 70))"
"((133, 138), (133, 138))"
"((185, 69), (185, 69))"
"((185, 69), (186, 70))"
"((149, 124), (148, 124))"
"((148, 124), (149, 124))"
"((133, 137), (133, 138), (133, 138))"
"((133, 138), (133, 137), (133, 138))"
"((185, 69), (185, 69), (186, 70))"
"((133, 137), (133, 137), (133, 138))"
"((186, 70), (185, 69), (186, 70))"
"((129, 64), (128, 63))"
"((44, 5), (44, 5))"
"((2, 31), (2, 31))"
"((81, 6), (81, 6))"
"((44, 4), (44, 5))"
"((130, 112), (130, 112))"
"((129, 111), (129, 111))"
"((2, 31), (2, 30))"
"((130, 112), (129, 111))"
"((128, 63), (129, 64))"
"((183, 44), (183, 44))"
"((43, 5), (44, 5))"
"((189, 44), (189, 44))"
"((119, 116), (119, 116))"
"((44, 5), (43, 4))"
"((2, 30), (2, 31))"
"((182, 44), (182, 44))"
"((1, 56), (2, 56))"
"((99, 155), (99, 155))"
"((88, 72), (87, 72))"
"((183, 44), (182, 44))"
"((129, 111), (130, 112))"
"((99, 155), (100, 155))"
"((88, 72), (88, 72))"
"((182, 44), (183, 44))"
"((100, 155), (99, 155))"
"((53, 190), (52, 190))"
"((19, 8), (18, 7))"
"((96, 13), (96, 12))"
"((76, 2), (76, 3))"
"((53, 190), (53, 190))"
"((52, 190), (52, 190))"
"((18, 7), (19, 8))"
"((113, 138), (115, 138))"
"((115, 138), (115, 138))"
"((136, 102), (136, 102))"
"((111, 133), (115, 138))"
"((96, 12), (96, 13))"
"((18, 7), (18, 7))"
"((115, 138), (111, 133))"
"((136, 102), (136, 101))"
"((111, 133), (111, 133))"
"((76, 2), (76, 2))"
"((19, 8), (19, 8))"
"((95, 13), (96, 13))"
"((96, 13), (95, 13))"
"((83, 158), (83, 158))"
"((138, 105), (138, 105))"
"((52, 190), (53, 190))"
"((96, 13), (96, 13))"
"((76, 3), (76, 2))"
"((144, 62), (145, 62))"
