Pattern
"((131, 76), (130, 76))"
"((102, 111), (103, 110))"
"((89, 105), (88, 103))"
"((136, 60), (137, 61))"
"((87, 106), (89, 105))"
"((130, 76), (131, 76))"
"((87, 106), (88, 105))"
"((135, 81), (135, 82))"
"((89, 105), (88, 105))"
"((88, 105), (87, 106))"
"((88, 105), (89, 105))"
"((137, 61), (136, 60))"
"((88, 103), (89, 105))"
"((135, 82), (135, 81))"
"((133, 66), (132, 66))"
"((88, 105), (89, 105))"
"((99, 116), (99, 115))"
"((195, 131), (196, 131))"
"((65, 141), (64, 140))"
"((105, 188), (104, 190))"
"((99, 115), (99, 116))"
"((101, 128), (101, 127))"
"((104, 190), (105, 188))"
"((196, 131), (195, 131))"
"((64, 140), (65, 141))"
"((65, 141), (64, 140))"
"((191, 54), (191, 55))"
"((177, 113), (178, 114))"
"((128, 88), (128, 89))"
"((73, 101), (74, 99))"
"((19, 119), (19, 118))"
"((19, 118), (19, 119))"
"((174, 47), (173, 47))"
"((184, 82), (183, 81))"
"((95, 95), (96, 94))"
"((19, 117), (19, 119))"
"((128, 89), (128, 88))"
"((173, 47), (174, 47))"
"((159, 77), (158, 78))"
"((19, 119), (19, 117))"
"((19, 118), (19, 117))"
"((180, 61), (180, 62))"
"((100, 92), (99, 93))"
"((87, 128), (86, 128))"
"((94, 125), (95, 125))"
"((86, 128), (87, 128))"
"((99, 93), (100, 92))"
"((180, 62), (180, 61))"
"((100, 93), (100, 92))"
"((100, 92), (100, 93))"
"((95, 125), (94, 125))"
"((99, 93), (100, 93))"
"((100, 93), (99, 93))"
"((180, 62), (180, 61))"
"((180, 61), (180, 62))"
"((180, 61), (180, 62), (180, 61))"
"((86, 120), (86, 121))"
"((30, 164), (31, 165))"
"((188, 113), (189, 113))"
"((97, 82), (98, 83))"
"((155, 26), (155, 27))"
"((87, 120), (86, 121))"
"((94, 131), (94, 132))"
"((86, 121), (87, 120))"
"((189, 113), (188, 113))"
"((156, 27), (155, 26))"
"((94, 132), (94, 131))"
"((31, 165), (30, 164))"
"((155, 27), (155, 26))"
"((155, 26), (156, 27))"
"((94, 131), (94, 132))"
"((94, 131), (94, 132), (94, 131))"
"((94, 131), (94, 132))"
"((94, 132), (94, 131))"
"((185, 51), (185, 52))"
"((178, 43), (178, 45))"
"((199, 65), (199, 64))"
"((199, 64), (199, 65))"
"((178, 44), (178, 43))"
"((178, 43), (178, 44))"
"((189, 51), (190, 51))"
"((178, 44), (178, 45))"
"((178, 45), (178, 43))"
"((185, 52), (185, 51))"
"((190, 51), (189, 51))"
"((178, 45), (178, 44))"
"((199, 65), (199, 64))"
"((178, 44), (178, 43), (178, 44))"
"((199, 65), (199, 64), (199, 65))"
"((199, 65), (199, 64))"
"((199, 65), (199, 64), (199, 65))"
"((199, 65), (199, 64))"
"((21, 4), (21, 3))"
"((113, 127), (113, 126))"
"((21, 3), (20, 4))"
"((195, 28), (196, 27))"
"((102, 120), (102, 119))"
"((20, 4), (21, 3))"
"((102, 119), (102, 120))"
"((173, 28), (173, 29))"
"((138, 47), (138, 46))"
"((138, 46), (138, 47))"
"((96, 83), (96, 82))"
"((91, 71), (91, 72))"
"((172, 28), (173, 29))"
"((119, 146), (120, 146))"
"((120, 146), (119, 146))"
"((97, 82), (96, 82))"
"((96, 82), (97, 82))"
"((173, 29), (173, 28))"
"((71, 113), (72, 113))"
"((91, 72), (91, 71))"
"((138, 46), (139, 46))"
"((138, 47), (138, 46))"
"((138, 47), (138, 46))"
"((119, 146), (120, 146))"
"((138, 47), (138, 46), (138, 47))"
"((173, 28), (173, 29), (173, 28))"
"((119, 146), (120, 146), (119, 146))"
"((120, 146), (119, 146))"
"((91, 71), (91, 72), (91, 71))"
"((91, 71), (91, 72))"
"((91, 72), (91, 71))"
"((119, 146), (120, 146), (119, 146))"
"((72, 186), (72, 185))"
"((89, 102), (90, 101))"
"((90, 101), (89, 102))"
"((85, 98), (85, 97))"
"((139, 59), (139, 58))"
"((139, 58), (139, 59))"
"((59, 138), (60, 138))"
"((139, 58), (138, 59))"
"((161, 132), (161, 131))"
"((139, 59), (138, 59))"
"((161, 131), (161, 132))"
"((85, 97), (85, 98))"
"((138, 59), (139, 59))"
"((138, 59), (139, 58))"
"((161, 131), (161, 132))"
"((139, 59), (138, 59), (139, 58))"
"((187, 53), (188, 53))"
"((133, 138), (133, 137))"
"((188, 53), (187, 53))"
"((133, 137), (133, 138))"
"((186, 70), (185, 69))"
"((186, 70), (186, 69))"
"((186, 69), (186, 70))"
"((185, 69), (186, 70))"
"((149, 124), (148, 124))"
"((148, 124), (149, 124))"
"((133, 137), (133, 138))"
"((133, 138), (133, 137), (133, 138))"
"((185, 69), (186, 70))"
"((133, 137), (133, 138))"
"((186, 70), (185, 69), (186, 70))"
"((129, 64), (128, 63))"
"((44, 4), (44, 5))"
"((2, 31), (2, 30))"
"((130, 112), (129, 111))"
"((128, 63), (129, 64))"
"((43, 5), (44, 5))"
"((44, 5), (43, 4))"
"((2, 30), (2, 31))"
"((1, 56), (2, 56))"
"((88, 72), (87, 72))"
"((183, 44), (182, 44))"
"((129, 111), (130, 112))"
"((99, 155), (100, 155))"
"((182, 44), (183, 44))"
"((100, 155), (99, 155))"
"((53, 190), (52, 190))"
"((19, 8), (18, 7))"
"((96, 13), (96, 12))"
"((76, 2), (76, 3))"
"((18, 7), (19, 8))"
"((113, 138), (115, 138))"
"((111, 133), (115, 138))"
"((96, 12), (96, 13))"
"((115, 138), (111, 133))"
"((136, 102), (136, 101))"
"((95, 13), (96, 13))"
"((96, 13), (95, 13))"
"((52, 190), (53, 190))"
"((76, 3), (76, 2))"
"((144, 62), (145, 62))"
"((52, 190), (53, 190))"
"((176, 190), (178, 188))"
"((178, 188), (176, 190))"
"((120, 55), (119, 56))"
"((101, 111), (101, 112))"
"((119, 56), (120, 55))"
"((177, 189), (178, 188))"
"((178, 188), (177, 189))"
"((101, 112), (101, 111))"
"((103, 82), (103, 81))"
"((96, 70), (96, 69))"
"((103, 81), (103, 82))"
"((176, 190), (177, 189))"
"((124, 51), (124, 50))"
"((177, 189), (176, 190))"
"((103, 81), (104, 81))"
"((96, 69), (96, 70))"
"((124, 50), (124, 51))"
"((101, 111), (101, 112))"
"((177, 189), (178, 188), (177, 189))"
"((101, 111), (101, 112), (101, 111))"
"((177, 189), (178, 188))"
"((178, 188), (177, 189))"
"((101, 112), (101, 111))"
"((171, 72), (170, 73))"
"((96, 94), (96, 95))"
"((178, 32), (177, 34))"
"((96, 95), (95, 95))"
"((95, 95), (96, 95))"
"((177, 34), (178, 32))"
"((96, 94), (95, 95))"
"((112, 88), (111, 89))"
"((14, 9), (13, 8))"
"((96, 95), (96, 94))"
"((170, 73), (171, 72))"
"((177, 34), (178, 32))"
"((95, 95), (96, 94))"
"((178, 32), (177, 34), (178, 32))"
"((177, 34), (178, 32))"
"((95, 95), (96, 94), (95, 95))"
"((96, 95), (95, 95), (96, 94))"
"((96, 94), (95, 95))"
"((175, 89), (176, 89))"
"((82, 97), (82, 96))"
"((145, 62), (145, 61))"
"((133, 94), (133, 93))"
"((133, 93), (133, 94))"
"((176, 89), (175, 89))"
"((175, 89), (175, 90))"
"((145, 61), (145, 62))"
"((163, 55), (162, 54))"
"((132, 63), (132, 62))"
"((162, 54), (163, 55))"
"((48, 179), (135, 81))"
"((135, 81), (48, 179))"
"((48, 179), (135, 81))"
"((48, 179), (135, 81), (48, 179))"
"((48, 179), (135, 81))"
"((96, 33), (97, 33))"
"((130, 79), (130, 80))"
"((153, 69), (152, 68))"
"((171, 176), (170, 176))"
"((86, 68), (89, 68))"
"((130, 80), (130, 79))"
"((89, 68), (86, 68))"
"((123, 85), (122, 84))"
"((185, 95), (185, 94))"
"((129, 140), (131, 144))"
"((185, 94), (186, 96))"
"((142, 101), (142, 102))"
"((142, 102), (142, 101))"
"((122, 84), (123, 85))"
"((140, 74), (141, 75))"
"((141, 75), (140, 74))"
"((198, 114), (199, 114))"
"((199, 114), (198, 114))"
"((140, 74), (141, 75), (140, 74))"
"((140, 74), (141, 75))"
"((140, 74), (141, 75))"
"((29, 154), (27, 156))"
"((110, 113), (110, 114))"
"((127, 68), (127, 69))"
"((144, 84), (145, 84))"
"((175, 78), (176, 78))"
"((145, 84), (144, 84))"
"((176, 78), (175, 78))"
"((110, 114), (110, 113))"
"((127, 69), (127, 68))"
"((144, 84), (145, 84), (144, 84))"
"((127, 68), (127, 69), (127, 68))"
"((110, 113), (110, 114), (110, 113))"
"((110, 113), (110, 114))"
"((175, 78), (176, 78), (175, 78))"
"((127, 69), (127, 68))"
"((144, 84), (145, 84))"
"((144, 84), (145, 84))"
"((127, 68), (127, 69))"
"((165, 76), (166, 77))"
"((116, 8), (116, 7))"
"((106, 82), (107, 82))"
"((52, 171), (52, 172))"
"((132, 146), (132, 144))"
"((107, 82), (106, 82))"
"((116, 7), (116, 8))"
"((77, 123), (79, 123))"
"((191, 53), (192, 54))"
"((192, 54), (191, 53))"
"((106, 83), (106, 82))"
"((152, 63), (151, 63))"
"((166, 77), (165, 76))"
"((79, 123), (77, 123))"
"((132, 144), (132, 146))"
"((52, 172), (52, 171))"
"((116, 8), (116, 7), (116, 8))"
"((107, 82), (106, 82))"
"((106, 82), (107, 82), (106, 82))"
"((116, 7), (116, 8))"
