Pattern
"((72, 97), (72, 97))"
"((19, 16), (20, 16))"
"((87, 91), (87, 91))"
"((55, 151), (55, 150))"
"((56, 152), (56, 152))"
"((87, 91), (88, 92))"
"((55, 150), (56, 151))"
"((57, 153), (55, 151))"
"((20, 16), (19, 16))"
"((56, 152), (55, 151))"
"((56, 151), (56, 151))"
"((57, 153), (55, 150))"
"((55, 150), (55, 151))"
"((55, 150), (55, 150))"
"((56, 151), (55, 151))"
"((80, 93), (80, 93))"
"((93, 96), (93, 97))"
"((29, 45), (29, 45))"
"((74, 76), (74, 76))"
"((88, 91), (87, 91))"
"((88, 92), (88, 91))"
"((55, 151), (56, 152))"
"((88, 91), (88, 92))"
"((55, 151), (55, 151))"
"((57, 153), (56, 152))"
"((88, 91), (88, 91))"
"((57, 153), (57, 153))"
"((55, 150), (57, 153))"
"((130, 136), (130, 136))"
"((29, 46), (29, 46))"
"((29, 46), (29, 45))"
"((88, 92), (87, 91))"
"((56, 152), (55, 150))"
"((80, 115), (80, 115))"
"((29, 45), (29, 46))"
"((56, 151), (55, 150))"
"((88, 92), (88, 92))"
"((20, 16), (20, 16))"
"((93, 97), (93, 96))"
"((93, 96), (93, 96))"
"((55, 151), (57, 153))"
"((29, 45), (29, 45), (29, 46))"
"((57, 153), (55, 151), (57, 153))"
"((57, 153), (55, 151), (55, 151))"
"((29, 46), (29, 46), (29, 45))"
"((29, 46), (29, 45), (29, 46))"
"((55, 151), (55, 151), (57, 153))"
"((29, 46), (29, 46), (29, 45), (29, 46))"
"((81, 151), (80, 151))"
"((51, 107), (45, 109))"
"((45, 109), (45, 109))"
"((39, 108), (38, 108))"
"((39, 108), (39, 108))"
"((28, 38), (29, 38))"
"((38, 109), (38, 109))"
"((38, 109), (38, 108))"
"((64, 115), (64, 114))"
"((92, 125), (92, 125))"
"((64, 114), (64, 115))"
"((78, 151), (79, 150))"
"((38, 108), (38, 109))"
"((65, 115), (65, 115))"
"((76, 101), (76, 101))"
"((77, 87), (76, 87))"
"((45, 109), (46, 109))"
"((77, 101), (76, 101))"
"((64, 114), (64, 114))"
"((45, 109), (46, 108))"
"((46, 108), (51, 107))"
"((28, 38), (28, 38))"
"((18, 187), (18, 187))"
"((80, 151), (80, 151))"
"((39, 108), (38, 109))"
"((28, 39), (28, 38))"
"((49, 110), (49, 110))"
"((64, 114), (49, 110))"
"((77, 101), (77, 101))"
"((50, 113), (50, 113))"
"((38, 107), (38, 107))"
"((14, 199), (15, 198))"
"((15, 198), (14, 199))"
"((76, 87), (77, 87))"
"((46, 109), (45, 109))"
"((80, 151), (81, 151))"
"((90, 159), (90, 159))"
"((46, 108), (45, 109))"
"((81, 151), (81, 151))"
"((45, 109), (51, 107))"
"((49, 111), (49, 110))"
"((90, 159), (90, 158))"
"((38, 109), (39, 108))"
"((65, 115), (64, 114))"
"((90, 158), (90, 159))"
"((29, 38), (28, 38))"
"((90, 158), (90, 158))"
"((46, 108), (50, 113))"
"((38, 108), (38, 108))"
"((38, 108), (39, 108))"
"((64, 114), (65, 115))"
"((79, 150), (79, 150))"
"((49, 110), (49, 111))"
"((15, 198), (15, 198))"
"((14, 199), (14, 199))"
"((46, 109), (46, 108))"
"((76, 101), (77, 101))"
"((64, 115), (64, 115))"
"((22, 195), (22, 195))"
"((46, 108), (46, 108))"
"((77, 87), (77, 87))"
"((45, 109), (46, 108), (45, 109))"
"((38, 109), (38, 109), (39, 108))"
"((38, 109), (38, 108), (38, 108))"
"((39, 108), (38, 108), (39, 108))"
"((38, 109), (38, 109), (38, 108))"
"((38, 109), (38, 108), (38, 109))"
"((45, 109), (46, 108), (46, 108))"
"((64, 115), (64, 114), (64, 115))"
"((65, 115), (64, 114), (65, 115))"
"((39, 108), (38, 108), (38, 108))"
"((77, 101), (76, 101), (77, 101))"
"((45, 109), (45, 109), (46, 108))"
"((80, 151), (81, 151), (81, 151))"
"((39, 108), (38, 109), (39, 108))"
"((39, 108), (38, 108), (38, 109))"
"((64, 114), (64, 115), (64, 115))"
"((65, 115), (65, 115), (64, 114))"
"((76, 101), (76, 101), (77, 101))"
"((38, 108), (38, 108), (39, 108))"
"((14, 199), (15, 198), (15, 198))"
"((39, 108), (39, 108), (38, 109))"
"((51, 107), (45, 109), (45, 109))"
"((38, 109), (38, 108), (39, 108))"
"((64, 114), (64, 114), (65, 115))"
"((38, 108), (38, 109), (39, 108))"
"((64, 115), (64, 114), (64, 114))"
"((38, 109), (38, 109), (38, 108), (39, 108))"
"((39, 108), (38, 108), (38, 109), (39, 108))"
"((38, 109), (38, 109), (38, 108), (38, 109))"
"((38, 109), (38, 108), (38, 109), (39, 108))"
"((38, 109), (38, 108), (38, 108), (39, 108))"
"((39, 108), (38, 108), (38, 108), (39, 108))"
"((38, 109), (38, 109), (38, 108), (38, 109), (39, 108))"
"((66, 103), (66, 102))"
"((88, 95), (77, 100))"
"((108, 166), (108, 166))"
"((66, 102), (66, 103))"
"((58, 112), (58, 112))"
"((47, 87), (47, 87))"
"((47, 88), (48, 87))"
"((48, 87), (47, 88))"
"((96, 99), (97, 99))"
"((86, 119), (86, 120))"
"((48, 87), (47, 87))"
"((77, 99), (78, 98))"
"((88, 94), (90, 93))"
"((88, 95), (78, 99))"
"((86, 91), (86, 90))"
"((66, 101), (66, 103))"
"((78, 99), (79, 99))"
"((90, 94), (91, 94))"
"((78, 99), (88, 95))"
