Pattern
"((19, 16), (20, 16))"
"((55, 151), (55, 150))"
"((87, 91), (88, 92))"
"((55, 150), (56, 151))"
"((57, 153), (55, 151))"
"((20, 16), (19, 16))"
"((56, 152), (55, 151))"
"((57, 153), (55, 150))"
"((55, 150), (55, 151))"
"((56, 151), (55, 151))"
"((93, 96), (93, 97))"
"((88, 91), (87, 91))"
"((88, 92), (88, 91))"
"((55, 151), (56, 152))"
"((88, 91), (88, 92))"
"((57, 153), (56, 152))"
"((55, 150), (57, 153))"
"((29, 46), (29, 45))"
"((88, 92), (87, 91))"
"((56, 152), (55, 150))"
"((29, 45), (29, 46))"
"((56, 151), (55, 150))"
"((93, 97), (93, 96))"
"((55, 151), (57, 153))"
"((29, 45), (29, 46))"
"((57, 153), (55, 151), (57, 153))"
"((57, 153), (55, 151))"
"((29, 46), (29, 45))"
"((29, 46), (29, 45), (29, 46))"
"((55, 151), (57, 153))"
"((29, 46), (29, 45), (29, 46))"
"((81, 151), (80, 151))"
"((51, 107), (45, 109))"
"((39, 108), (38, 108))"
"((28, 38), (29, 38))"
"((38, 109), (38, 108))"
"((64, 115), (64, 114))"
"((64, 114), (64, 115))"
"((78, 151), (79, 150))"
"((38, 108), (38, 109))"
"((77, 87), (76, 87))"
"((45, 109), (46, 109))"
"((77, 101), (76, 101))"
"((45, 109), (46, 108))"
"((46, 108), (51, 107))"
"((39, 108), (38, 109))"
"((28, 39), (28, 38))"
"((64, 114), (49, 110))"
"((14, 199), (15, 198))"
"((15, 198), (14, 199))"
"((76, 87), (77, 87))"
"((46, 109), (45, 109))"
"((80, 151), (81, 151))"
"((46, 108), (45, 109))"
"((45, 109), (51, 107))"
"((49, 111), (49, 110))"
"((90, 159), (90, 158))"
"((38, 109), (39, 108))"
"((65, 115), (64, 114))"
"((90, 158), (90, 159))"
"((29, 38), (28, 38))"
"((46, 108), (50, 113))"
"((38, 108), (39, 108))"
"((64, 114), (65, 115))"
"((49, 110), (49, 111))"
"((46, 109), (46, 108))"
"((76, 101), (77, 101))"
"((45, 109), (46, 108), (45, 109))"
"((38, 109), (39, 108))"
"((38, 109), (38, 108))"
"((39, 108), (38, 108), (39, 108))"
"((38, 109), (38, 108))"
"((38, 109), (38, 108), (38, 109))"
"((45, 109), (46, 108))"
"((64, 115), (64, 114), (64, 115))"
"((65, 115), (64, 114), (65, 115))"
"((39, 108), (38, 108))"
"((77, 101), (76, 101), (77, 101))"
"((45, 109), (46, 108))"
"((80, 151), (81, 151))"
"((39, 108), (38, 109), (39, 108))"
"((39, 108), (38, 108), (38, 109))"
"((64, 114), (64, 115))"
"((65, 115), (64, 114))"
"((76, 101), (77, 101))"
"((38, 108), (39, 108))"
"((14, 199), (15, 198))"
"((39, 108), (38, 109))"
"((51, 107), (45, 109))"
"((38, 109), (38, 108), (39, 108))"
"((64, 114), (65, 115))"
"((38, 108), (38, 109), (39, 108))"
"((64, 115), (64, 114))"
"((38, 109), (38, 108), (39, 108))"
"((39, 108), (38, 108), (38, 109), (39, 108))"
"((38, 109), (38, 108), (38, 109))"
"((38, 109), (38, 108), (38, 109), (39, 108))"
"((38, 109), (38, 108), (39, 108))"
"((39, 108), (38, 108), (39, 108))"
"((38, 109), (38, 108), (38, 109), (39, 108))"
"((66, 103), (66, 102))"
"((88, 95), (77, 100))"
"((66, 102), (66, 103))"
"((47, 88), (48, 87))"
"((48, 87), (47, 88))"
"((96, 99), (97, 99))"
"((86, 119), (86, 120))"
"((48, 87), (47, 87))"
"((77, 99), (78, 98))"
"((88, 94), (90, 93))"
"((88, 95), (78, 99))"
"((86, 91), (86, 90))"
"((66, 101), (66, 103))"
"((78, 99), (79, 99))"
"((90, 94), (91, 94))"
"((78, 99), (88, 95))"
"((88, 95), (77, 99))"
"((78, 98), (77, 99))"
"((108, 168), (108, 167))"
"((77, 99), (79, 99))"
"((91, 109), (88, 107))"
"((66, 102), (66, 101))"
"((77, 99), (88, 95))"
"((96, 99), (96, 98))"
"((108, 166), (108, 168))"
"((79, 99), (77, 99))"
"((66, 102), (67, 102))"
"((66, 101), (66, 102))"
"((108, 165), (108, 168))"
"((96, 98), (97, 98))"
"((77, 100), (78, 99))"
"((108, 168), (108, 166))"
"((109, 169), (108, 165))"
"((91, 108), (91, 109))"
"((108, 168), (108, 165))"
"((60, 112), (58, 112))"
"((47, 88), (47, 87))"
"((180, 19), (180, 18))"
"((77, 100), (79, 99))"
"((47, 87), (47, 88))"
"((77, 100), (88, 95))"
"((95, 100), (96, 99))"
"((77, 99), (78, 99))"
"((97, 98), (96, 98))"
"((78, 99), (77, 99))"
"((109, 169), (108, 168))"
"((78, 98), (77, 100))"
"((191, 45), (191, 44))"
"((66, 103), (66, 101))"
"((58, 112), (60, 112))"
"((97, 98), (95, 100))"
"((108, 167), (108, 168))"
"((86, 120), (86, 119))"
"((96, 99), (97, 98))"
"((108, 168), (109, 169))"
"((66, 103), (67, 102))"
