Pattern
"((21, 172), (22, 172))"
"((38, 184), (38, 183))"
"((35, 143), (35, 144))"
"((50, 140), (50, 140))"
"((31, 159), (31, 157))"
"((50, 140), (51, 140))"
"((47, 138), (47, 138))"
"((31, 158), (31, 157))"
"((21, 164), (22, 164))"
"((47, 138), (43, 141))"
"((35, 196), (36, 192))"
"((43, 140), (43, 140))"
"((22, 172), (21, 172))"
"((63, 19), (64, 18))"
"((34, 156), (22, 152))"
"((35, 143), (35, 143))"
"((11, 149), (11, 149))"
"((18, 171), (18, 171))"
"((31, 157), (31, 158))"
"((24, 147), (24, 147))"
"((63, 20), (63, 20))"
"((1, 183), (2, 183))"
"((1, 181), (2, 183))"
"((1, 183), (2, 182))"
"((22, 152), (22, 152))"
"((2, 183), (1, 183))"
"((43, 141), (43, 140))"
"((36, 192), (36, 193))"
"((31, 136), (32, 136))"
"((35, 144), (35, 144))"
"((38, 183), (38, 183))"
"((2, 182), (1, 183))"
"((28, 157), (28, 157))"
"((2, 182), (1, 182))"
"((22, 152), (21, 168))"
"((34, 187), (34, 187))"
"((38, 184), (38, 184))"
"((29, 158), (28, 157))"
"((1, 182), (1, 181))"
"((31, 159), (31, 158))"
"((35, 195), (36, 192))"
"((21, 164), (21, 164))"
"((18, 172), (18, 171))"
"((21, 171), (21, 171))"
"((31, 158), (31, 158))"
"((51, 140), (51, 140))"
"((36, 192), (35, 195))"
"((43, 140), (47, 138))"
"((21, 171), (22, 171))"
"((21, 168), (22, 152))"
"((43, 140), (43, 141))"
"((22, 152), (34, 156))"
"((33, 192), (33, 192))"
"((2, 183), (1, 181))"
"((35, 144), (35, 143))"
"((21, 172), (21, 171))"
"((2, 182), (1, 181))"
"((21, 172), (22, 171))"
"((21, 168), (21, 168))"
"((32, 136), (31, 136))"
"((22, 172), (22, 172))"
"((35, 196), (35, 196))"
"((37, 164), (39, 163))"
"((31, 157), (31, 159))"
"((18, 171), (18, 172))"
"((28, 158), (28, 157))"
"((34, 156), (21, 168))"
"((47, 138), (43, 140))"
"((32, 137), (31, 136))"
"((31, 136), (31, 136))"
"((21, 168), (34, 156))"
"((64, 18), (63, 19))"
"((22, 172), (21, 171))"
"((43, 141), (47, 138))"
"((22, 171), (21, 172))"
"((6, 117), (6, 117))"
"((22, 172), (22, 171))"
"((34, 156), (34, 156))"
"((43, 141), (43, 141))"
"((1, 182), (2, 183))"
"((1, 183), (1, 182))"
"((22, 171), (22, 172))"
"((1, 182), (2, 182))"
"((38, 183), (38, 184))"
"((31, 157), (31, 157))"
"((21, 164), (23, 167))"
"((31, 159), (31, 159))"
"((1, 182), (1, 182))"
"((2, 183), (2, 183))"
"((51, 140), (50, 140))"
"((31, 158), (31, 159))"
"((63, 20), (63, 19))"
"((21, 171), (21, 172))"
"((2, 183), (2, 182))"
"((36, 192), (35, 196))"
"((28, 157), (29, 158))"
"((22, 164), (21, 164))"
"((2, 182), (2, 183))"
"((22, 171), (21, 171))"
"((21, 171), (22, 172))"
"((2, 182), (2, 182))"
"((24, 146), (24, 147))"
"((2, 183), (1, 182))"
"((22, 171), (22, 171))"
"((2, 183), (11, 149))"
"((63, 19), (63, 20))"
"((36, 192), (36, 192))"
"((21, 172), (21, 172))"
"((63, 19), (63, 19))"
"((36, 192), (36, 191))"
"((35, 195), (35, 195))"
"((2, 182), (11, 149))"
"((21, 172), (22, 171), (21, 172))"
"((2, 183), (2, 182), (2, 183))"
"((22, 172), (22, 172), (21, 171))"
"((22, 172), (21, 172), (22, 171))"
"((21, 171), (21, 171), (22, 171))"
"((63, 20), (63, 20), (63, 19))"
"((31, 158), (31, 157), (31, 159))"
"((31, 157), (31, 158), (31, 158))"
"((34, 156), (22, 152), (21, 168))"
"((21, 172), (22, 172), (21, 171))"
"((35, 144), (35, 144), (35, 143))"
"((21, 171), (21, 171), (22, 172))"
"((2, 182), (2, 182), (11, 149))"
"((31, 158), (31, 158), (31, 159))"
"((21, 172), (22, 171), (22, 172))"
"((21, 168), (21, 168), (34, 156))"
"((47, 138), (43, 141), (43, 140))"
"((50, 140), (51, 140), (51, 140))"
"((21, 172), (22, 172), (21, 172))"
"((31, 159), (31, 157), (31, 158))"
"((22, 172), (21, 171), (22, 172))"
"((31, 158), (31, 157), (31, 158))"
"((63, 20), (63, 19), (63, 19))"
"((21, 171), (22, 171), (21, 172))"
