Pattern
"((96, 92), (95, 91))"
"((96, 91), (95, 91))"
"((95, 91), (96, 92))"
"((182, 79), (183, 79))"
"((190, 2), (190, 2))"
"((112, 133), (112, 133))"
"((183, 79), (182, 79))"
"((65, 103), (65, 103))"
"((137, 48), (136, 48))"
"((190, 2), (191, 1))"
"((183, 79), (183, 79))"
"((65, 104), (65, 103))"
"((136, 48), (136, 48))"
"((138, 121), (138, 121))"
"((150, 47), (150, 47))"
"((112, 133), (112, 131))"
"((65, 102), (65, 104))"
"((182, 79), (182, 79))"
"((95, 91), (95, 91))"
"((191, 1), (191, 1))"
"((65, 102), (65, 102))"
"((138, 121), (138, 123))"
"((65, 103), (65, 104))"
"((121, 98), (121, 98))"
"((138, 123), (138, 121))"
"((96, 92), (96, 92))"
"((143, 77), (143, 77))"
"((95, 91), (96, 91))"
"((65, 104), (65, 104))"
"((112, 131), (112, 133))"
"((137, 48), (137, 48))"
"((65, 103), (65, 102))"
"((143, 57), (143, 57))"
"((136, 48), (137, 48))"
"((65, 104), (65, 102))"
"((138, 123), (138, 123))"
"((138, 47), (139, 47))"
"((191, 1), (190, 2))"
"((65, 102), (65, 103))"
"((65, 102), (65, 104), (65, 104))"
"((183, 79), (182, 79), (182, 79))"
"((65, 104), (65, 103), (65, 102))"
"((95, 91), (96, 92), (96, 92))"
"((138, 121), (138, 121), (138, 123))"
"((65, 103), (65, 104), (65, 104))"
"((137, 48), (136, 48), (137, 48))"
"((96, 92), (95, 91), (96, 92))"
"((65, 102), (65, 104), (65, 102))"
"((136, 48), (136, 48), (137, 48))"
"((182, 79), (183, 79), (183, 79))"
"((65, 104), (65, 103), (65, 104))"
"((65, 104), (65, 104), (65, 102))"
"((65, 103), (65, 104), (65, 102))"
"((137, 48), (136, 48), (136, 48))"
"((96, 92), (95, 91), (95, 91))"
"((182, 79), (183, 79), (182, 79))"
"((65, 102), (65, 104), (65, 104), (65, 102))"
"((190, 70), (190, 70))"
"((102, 30), (102, 30))"
"((117, 111), (117, 111))"
"((102, 29), (102, 30))"
"((117, 110), (117, 111))"
"((124, 68), (122, 69))"
"((117, 110), (117, 110))"
"((189, 70), (189, 70))"
"((122, 69), (124, 68))"
"((129, 97), (130, 97))"
"((110, 110), (111, 110))"
"((124, 68), (124, 68))"
"((129, 97), (129, 97))"
"((190, 70), (189, 70))"
"((130, 97), (130, 97))"
"((102, 30), (100, 30))"
"((139, 104), (139, 104))"
"((107, 131), (107, 131))"
"((102, 29), (100, 30))"
"((100, 30), (102, 30))"
"((100, 30), (102, 29))"
"((102, 30), (102, 29))"
"((117, 111), (117, 110))"
"((102, 29), (102, 29))"
"((124, 68), (122, 68))"
"((107, 132), (107, 131))"
"((189, 70), (190, 70))"
"((76, 30), (76, 30))"
"((107, 131), (107, 132))"
"((122, 68), (124, 68))"
"((131, 96), (131, 96))"
"((190, 70), (190, 70), (189, 70))"
"((102, 30), (102, 30), (102, 29))"
"((102, 29), (102, 30), (102, 29))"
"((189, 70), (189, 70), (190, 70))"
"((190, 70), (189, 70), (190, 70))"
"((102, 30), (102, 30), (100, 30))"
"((35, 76), (34, 77))"
"((35, 76), (34, 76))"
"((95, 33), (96, 35))"
"((77, 122), (77, 122))"
"((112, 28), (111, 28))"
"((65, 7), (68, 7))"
"((34, 76), (35, 76))"
"((34, 77), (34, 76))"
"((111, 28), (111, 28))"
"((168, 46), (168, 47))"
"((113, 117), (113, 117))"
"((99, 106), (99, 106))"
"((77, 122), (76, 122))"
"((111, 28), (112, 28))"
"((35, 76), (35, 76))"
"((96, 35), (95, 33))"
"((76, 122), (77, 122))"
"((96, 94), (95, 95))"
"((95, 33), (95, 33))"
"((185, 34), (185, 34))"
"((185, 33), (185, 34))"
"((34, 77), (34, 77))"
"((65, 7), (65, 7))"
"((185, 33), (185, 33))"
"((95, 33), (93, 34))"
"((34, 77), (35, 76))"
"((34, 76), (34, 77))"
"((68, 7), (65, 7))"
"((34, 76), (34, 76))"
"((112, 28), (112, 28))"
"((99, 99), (99, 99))"
"((35, 77), (35, 76))"
"((93, 34), (95, 33))"
"((96, 35), (96, 35))"
"((185, 34), (184, 34))"
"((35, 76), (34, 76), (35, 76))"
"((35, 76), (34, 77), (35, 76))"
"((34, 76), (35, 76), (35, 76))"
"((34, 77), (34, 77), (35, 76))"
"((112, 28), (111, 28), (112, 28))"
"((35, 76), (34, 77), (34, 77))"
"((42, 83), (42, 83))"
"((42, 83), (43, 83))"
"((87, 29), (87, 29))"
"((86, 28), (86, 29))"
"((42, 83), (41, 83))"
"((28, 77), (28, 76))"
"((73, 157), (75, 156))"
"((126, 69), (126, 68))"
"((29, 77), (28, 77))"
"((87, 29), (86, 28))"
"((126, 68), (126, 70))"
"((74, 156), (73, 157))"
"((120, 121), (120, 121))"
"((127, 70), (126, 69))"
"((28, 76), (28, 76))"
"((101, 28), (101, 28))"
"((126, 70), (126, 68))"
"((43, 83), (42, 84))"
"((74, 157), (75, 156))"
"((75, 156), (73, 157))"
"((126, 68), (126, 69))"
"((86, 29), (86, 29))"
"((42, 84), (42, 84))"
"((41, 83), (42, 83))"
"((123, 120), (120, 121))"
"((42, 83), (42, 84))"
"((126, 70), (126, 70))"
"((126, 69), (127, 70))"
"((28, 77), (28, 77))"
"((75, 156), (75, 156))"
"((126, 69), (126, 69))"
"((87, 29), (86, 29))"
"((28, 76), (28, 77))"
"((127, 70), (126, 70))"
"((73, 157), (74, 156))"
"((86, 28), (87, 29))"
"((126, 70), (126, 69))"
"((123, 120), (123, 120))"
"((86, 28), (86, 28))"
"((74, 157), (74, 157))"
"((29, 77), (28, 76))"
"((101, 28), (100, 29))"
"((74, 157), (74, 156))"
"((100, 29), (101, 28))"
"((28, 77), (29, 77))"
"((29, 77), (29, 77))"
"((28, 76), (29, 77))"
"((142, 102), (142, 102))"
"((74, 156), (74, 157))"
"((86, 29), (87, 29))"
"((74, 156), (74, 156))"
"((142, 102), (143, 102))"
"((43, 83), (42, 83))"
"((73, 157), (73, 157))"
"((43, 83), (43, 83))"
"((126, 68), (126, 68))"
"((86, 29), (86, 28))"
"((42, 84), (42, 83))"
"((126, 69), (126, 70))"
"((42, 84), (43, 83))"
"((75, 156), (74, 157))"
"((73, 157), (74, 157))"
"((143, 102), (142, 102))"
"((120, 121), (123, 120))"
"((126, 70), (127, 70))"
"((143, 102), (143, 102))"
"((74, 157), (73, 157))"
"((74, 157), (75, 156), (74, 157))"
"((86, 29), (86, 29), (87, 29))"
"((87, 29), (86, 29), (87, 29))"
"((73, 157), (75, 156), (74, 157))"
"((28, 77), (28, 76), (28, 76))"
"((74, 157), (75, 156), (75, 156))"
"((42, 84), (42, 84), (42, 83))"
"((28, 76), (28, 76), (28, 77))"
"((142, 102), (142, 102), (143, 102))"
"((126, 69), (126, 69), (126, 70))"
"((28, 77), (28, 77), (29, 77))"
"((86, 28), (86, 29), (86, 29))"
"((120, 121), (120, 121), (123, 120))"
"((75, 156), (73, 157), (73, 157))"
