Pattern
"((96, 92), (95, 91))"
"((96, 91), (95, 91))"
"((95, 91), (96, 92))"
"((182, 79), (183, 79))"
"((183, 79), (182, 79))"
"((137, 48), (136, 48))"
"((190, 2), (191, 1))"
"((65, 104), (65, 103))"
"((112, 133), (112, 131))"
"((65, 102), (65, 104))"
"((138, 121), (138, 123))"
"((65, 103), (65, 104))"
"((138, 123), (138, 121))"
"((95, 91), (96, 91))"
"((112, 131), (112, 133))"
"((65, 103), (65, 102))"
"((136, 48), (137, 48))"
"((65, 104), (65, 102))"
"((138, 47), (139, 47))"
"((191, 1), (190, 2))"
"((65, 102), (65, 103))"
"((65, 102), (65, 104))"
"((183, 79), (182, 79))"
"((65, 104), (65, 103), (65, 102))"
"((95, 91), (96, 92))"
"((138, 121), (138, 123))"
"((65, 103), (65, 104))"
"((137, 48), (136, 48), (137, 48))"
"((96, 92), (95, 91), (96, 92))"
"((65, 102), (65, 104), (65, 102))"
"((136, 48), (137, 48))"
"((182, 79), (183, 79))"
"((65, 104), (65, 103), (65, 104))"
"((65, 104), (65, 102))"
"((65, 103), (65, 104), (65, 102))"
"((137, 48), (136, 48))"
"((96, 92), (95, 91))"
"((182, 79), (183, 79), (182, 79))"
"((65, 102), (65, 104), (65, 102))"
"((102, 29), (102, 30))"
"((117, 110), (117, 111))"
"((124, 68), (122, 69))"
"((122, 69), (124, 68))"
"((129, 97), (130, 97))"
"((110, 110), (111, 110))"
"((190, 70), (189, 70))"
"((102, 30), (100, 30))"
"((102, 29), (100, 30))"
"((100, 30), (102, 30))"
"((100, 30), (102, 29))"
"((102, 30), (102, 29))"
"((117, 111), (117, 110))"
"((124, 68), (122, 68))"
"((107, 132), (107, 131))"
"((189, 70), (190, 70))"
"((107, 131), (107, 132))"
"((122, 68), (124, 68))"
"((190, 70), (189, 70))"
"((102, 30), (102, 29))"
"((102, 29), (102, 30), (102, 29))"
"((189, 70), (190, 70))"
"((190, 70), (189, 70), (190, 70))"
"((102, 30), (100, 30))"
"((35, 76), (34, 77))"
"((35, 76), (34, 76))"
"((95, 33), (96, 35))"
"((112, 28), (111, 28))"
"((65, 7), (68, 7))"
"((34, 76), (35, 76))"
"((34, 77), (34, 76))"
"((168, 46), (168, 47))"
"((77, 122), (76, 122))"
"((111, 28), (112, 28))"
"((96, 35), (95, 33))"
"((76, 122), (77, 122))"
"((96, 94), (95, 95))"
"((185, 33), (185, 34))"
"((95, 33), (93, 34))"
"((34, 77), (35, 76))"
"((34, 76), (34, 77))"
"((68, 7), (65, 7))"
"((35, 77), (35, 76))"
"((93, 34), (95, 33))"
"((185, 34), (184, 34))"
"((35, 76), (34, 76), (35, 76))"
"((35, 76), (34, 77), (35, 76))"
"((34, 76), (35, 76))"
"((34, 77), (35, 76))"
"((112, 28), (111, 28), (112, 28))"
"((35, 76), (34, 77))"
"((42, 83), (43, 83))"
"((86, 28), (86, 29))"
"((42, 83), (41, 83))"
"((28, 77), (28, 76))"
"((73, 157), (75, 156))"
"((126, 69), (126, 68))"
"((29, 77), (28, 77))"
"((87, 29), (86, 28))"
"((126, 68), (126, 70))"
"((74, 156), (73, 157))"
"((127, 70), (126, 69))"
"((126, 70), (126, 68))"
"((43, 83), (42, 84))"
"((74, 157), (75, 156))"
"((75, 156), (73, 157))"
"((126, 68), (126, 69))"
"((41, 83), (42, 83))"
"((123, 120), (120, 121))"
"((42, 83), (42, 84))"
"((126, 69), (127, 70))"
"((87, 29), (86, 29))"
"((28, 76), (28, 77))"
"((127, 70), (126, 70))"
"((73, 157), (74, 156))"
"((86, 28), (87, 29))"
"((126, 70), (126, 69))"
"((29, 77), (28, 76))"
"((101, 28), (100, 29))"
"((74, 157), (74, 156))"
"((100, 29), (101, 28))"
"((28, 77), (29, 77))"
"((28, 76), (29, 77))"
"((74, 156), (74, 157))"
"((86, 29), (87, 29))"
"((142, 102), (143, 102))"
"((43, 83), (42, 83))"
"((86, 29), (86, 28))"
"((42, 84), (42, 83))"
"((126, 69), (126, 70))"
"((42, 84), (43, 83))"
"((75, 156), (74, 157))"
"((73, 157), (74, 157))"
"((143, 102), (142, 102))"
"((120, 121), (123, 120))"
"((126, 70), (127, 70))"
"((74, 157), (73, 157))"
"((74, 157), (75, 156), (74, 157))"
"((86, 29), (87, 29))"
"((87, 29), (86, 29), (87, 29))"
"((73, 157), (75, 156), (74, 157))"
"((28, 77), (28, 76))"
"((74, 157), (75, 156))"
"((42, 84), (42, 83))"
"((28, 76), (28, 77))"
"((142, 102), (143, 102))"
"((126, 69), (126, 70))"
"((28, 77), (29, 77))"
"((86, 28), (86, 29))"
"((120, 121), (123, 120))"
"((75, 156), (73, 157))"
"((126, 70), (126, 69))"
"((123, 120), (120, 121), (123, 120))"
"((42, 83), (43, 83), (42, 83))"
"((86, 28), (86, 29), (87, 29))"
"((87, 29), (86, 28))"
"((28, 76), (29, 77))"
"((126, 70), (126, 69), (126, 70))"
"((42, 83), (43, 83))"
"((28, 77), (28, 76), (28, 77))"
"((87, 29), (86, 29), (86, 28))"
"((74, 157), (73, 157))"
"((75, 156), (74, 157), (73, 157))"
"((87, 29), (86, 28))"
"((28, 77), (29, 77))"
"((142, 102), (143, 102))"
"((75, 156), (74, 157))"
"((29, 77), (28, 76), (29, 77))"
"((29, 77), (28, 77), (29, 77))"
"((87, 29), (86, 28), (87, 29))"
"((42, 83), (42, 84))"
"((28, 77), (28, 76), (29, 77))"
"((87, 29), (86, 28), (87, 29))"
"((74, 157), (75, 156), (74, 157))"
"((126, 70), (126, 69), (126, 70))"
"((97, 92), (98, 92))"
"((98, 92), (97, 92))"
"((196, 193), (194, 193))"
"((124, 107), (125, 107))"
"((168, 147), (169, 147))"
"((172, 36), (172, 37))"
"((101, 102), (102, 103))"
"((97, 97), (98, 96))"
"((98, 96), (97, 97))"
"((104, 184), (104, 186))"
"((101, 103), (102, 103))"
"((194, 193), (196, 193))"
"((195, 193), (194, 193))"
"((194, 193), (195, 193))"
"((96, 95), (97, 95))"
"((125, 107), (124, 107))"
"((98, 92), (97, 92))"
"((196, 193), (194, 193))"
"((97, 92), (98, 92), (97, 92))"
"((97, 92), (98, 92))"
"((124, 107), (125, 107), (124, 107))"
"((64, 104), (65, 103))"
"((97, 112), (97, 113))"
"((148, 98), (147, 97))"
"((184, 59), (183, 59))"
"((83, 121), (84, 120))"
"((95, 101), (94, 101))"
"((124, 98), (124, 97))"
"((123, 98), (124, 98))"
"((146, 97), (147, 97))"
"((84, 120), (84, 121))"
"((148, 52), (148, 53))"
"((7, 58), (6, 58))"
"((148, 53), (148, 52))"
"((146, 49), (145, 49))"
"((145, 49), (146, 49))"
"((147, 97), (148, 98))"
"((65, 102), (64, 104))"
"((124, 97), (123, 98))"
"((64, 104), (65, 102))"
"((84, 120), (83, 121))"
"((182, 56), (183, 56))"
"((124, 97), (124, 98))"
"((6, 58), (7, 58))"
"((123, 98), (124, 97))"
"((65, 103), (64, 104))"
"((148, 98), (146, 97))"
"((146, 97), (148, 98))"
