x,y,category,POI_count
9,193,Clothes Store,24
9,193,Bank,11
11,198,Real Estate,11
12,197,Real Estate,14
12,198,Real Estate,11
13,199,Cram School,13
13,200,NPO,14
13,200,Japanese restaurant,13
13,200,Accountant Office,13
13,200,Heavy Industry,12
13,200,Hair Salon,11
13,200,Lawyer Office,11
14,186,Heavy Industry,14
14,199,Elderly Care Home,12
14,199,Heavy Industry,11
14,200,Bank,28
14,200,Japanese restaurant,21
14,200,Heavy Industry,17
14,200,Hospital,17
14,200,Clothes Store,11
14,200,Accountant Office,11
15,200,Heavy Industry,14
22,195,Heavy Industry,14
25,191,Port,12
30,43,Real Estate,12
32,46,Real Estate,11
34,44,Accountant Office,17
34,44,Hair Salon,16
34,44,Real Estate,15
34,44,NPO,14
34,44,Lawyer Office,12
34,44,Hospital,11
34,45,Accountant Office,27
34,45,Bank,17
34,45,Hair Salon,15
34,45,Real Estate,15
34,45,Laundry ,12
34,45,Heavy Industry,11
34,45,Japanese restaurant,11
34,46,Building Material,11
34,49,Heavy Industry,15
35,44,Real Estate,20
35,44,Accountant Office,13
35,44,Hair Salon,11
35,45,Japanese restaurant,45
35,45,Hair Salon,30
35,45,Bar,26
35,45,Real Estate,24
35,45,Clothes Store,23
35,45,Wine Bar,19
35,45,Transit Station,17
35,45,Bank,16
35,45,Laundry ,12
35,45,Western restaurant,11
35,45,Fishing,11
35,45,Café,11
35,46,Real Estate,17
38,47,Port,12
41,47,Building Material,14
43,110,Transit Station,17
44,45,Hair Salon,18
44,132,Heavy Industry,28
44,136,Heavy Industry,12
45,110,Heavy Industry,24
45,128,Heavy Industry,11
46,112,Heavy Industry,15
46,122,Heavy Industry,19
46,123,Heavy Industry,29
46,125,Heavy Industry,19
47,113,Hair Salon,13
47,124,Real Estate,16
47,125,Hair Salon,31
47,125,Japanese restaurant,18
47,125,Hospital,14
47,125,Heavy Industry,13
47,125,Real Estate,12
47,125,Transit Station,11
47,139,Hair Salon,13
48,125,Hair Salon,20
48,125,Real Estate,16
49,108,Retail Store,14
49,112,Clothes Store,30
49,112,Transit Station,15
49,112,Japanese restaurant,14
49,112,Hair Salon,14
49,112,Interior Shop,13
49,112,Hospital,11
49,113,Transit Station,27
49,113,Japanese restaurant,20
49,113,Hair Salon,20
49,113,Clothes Store,20
49,113,Hospital,19
49,113,Heavy Industry,15
49,113,Laundry ,13
49,113,Building Material,12
49,113,Bank,11
49,113,Interior Shop,11
49,113,Accountant Office,11
49,113,Real Estate,11
49,114,Real Estate,21
49,114,Bank,17
49,114,Hair Salon,15
49,114,Transit Station,14
49,125,Real Estate,16
50,108,Grocery Store,13
50,111,Transit Station,15
50,111,Heavy Industry,11
50,112,Cram School,25
50,112,Transit Station,23
50,112,Hospital,21
50,112,Hair Salon,15
50,112,Bank,15
50,112,Real Estate,13
50,112,Driving School,11
50,113,Japanese restaurant,29
50,113,Accountant Office,27
50,113,Transit Station,25
50,113,Real Estate,22
50,113,Bar,18
50,113,Hair Salon,18
50,113,Elderly Care Home,15
50,113,Hospital,14
50,113,NPO,13
50,113,Café,13
50,113,Lawyer Office,12
50,113,Building Material,12
50,113,Home Appliances,11
50,114,Transit Station,46
50,114,Japanese restaurant,43
50,114,Hair Salon,40
50,114,Accountant Office,32
50,114,Bar,30
50,114,Real Estate,29
50,114,Clothes Store,28
50,114,Wine Bar,23
50,114,Café,22
50,114,Bank,21
50,114,Grocery Store,19
50,114,Interior Shop,17
50,114,NPO,15
50,114,Ramen restaurant,15
50,114,Hospital,14
50,114,Heavy Industry,14
50,114,Western restaurant,12
50,114,Fishing,11
50,115,Home Appliances,14
50,115,Transit Station,13
50,115,Building Material,13
50,115,Hair Salon,13
50,115,Real Estate,11
50,115,Church,11
51,114,Transit Station,14
51,114,Hair Salon,13
51,114,Real Estate,11
51,115,Hair Salon,21
51,115,Grocery Store,15
51,115,Hospital,15
51,115,Building Material,12
