x,y,category,POI_count
5,147,Real Estate,14
6,178,Real Estate,11
6,193,Park,11
7,177,Clothes Store,55
7,177,DIY Store,25
8,195,Hospital,12
9,149,Real Estate,11
9,196,Transit Station,14
11,149,Real Estate,17
11,149,Hair Salon,11
11,154,Transit Station,11
11,171,Real Estate,20
11,172,Real Estate,11
11,196,Transit Station,11
12,150,Clothes Store,12
12,153,Transit Station,13
12,171,Real Estate,15
12,173,Real Estate,17
12,174,Clothes Store,32
13,152,Transit Station,15
13,168,Real Estate,39
13,169,Real Estate,18
14,156,Real Estate,26
14,157,Real Estate,14
14,169,Real Estate,17
14,195,Heavy Industry,13
15,155,Real Estate,36
15,156,Real Estate,32
15,156,Hair Salon,11
15,157,Real Estate,19
15,163,Transit Station,13
15,167,Real Estate,11
16,154,Real Estate,21
16,155,Real Estate,46
16,156,Real Estate,58
16,156,Japanese restaurant,32
16,156,Hair Salon,32
16,156,Bar,25
16,156,Transit Station,20
16,156,Hospital,18
16,156,Fishing,11
16,156,Accountant Office,11
16,157,Real Estate,23
16,161,Real Estate,11
16,162,Real Estate,21
16,163,Real Estate,15
16,166,Transit Station,14
16,167,Real Estate,17
17,153,Real Estate,12
17,154,Real Estate,20
17,156,Real Estate,25
17,157,Real Estate,13
17,159,Real Estate,14
17,161,Real Estate,15
17,162,Real Estate,28
17,162,Hair Salon,11
17,163,Real Estate,24
17,163,Transit Station,14
17,163,Driving School,12
17,166,Real Estate,12
17,171,Real Estate,14
17,174,Real Estate,12
18,150,Real Estate,11
18,151,Real Estate,16
18,152,Real Estate,19
18,154,Real Estate,18
18,155,Real Estate,16
18,156,Real Estate,34
18,156,Hospital,14
18,156,Hair Salon,14
18,156,Transit Station,11
18,157,Real Estate,61
18,157,Hair Salon,15
18,158,Real Estate,20
18,159,Real Estate,25
18,160,Real Estate,18
18,161,Real Estate,18
18,162,Real Estate,34
18,162,Hospital,12
18,168,Real Estate,15
18,169,Hair Salon,23
18,169,Real Estate,18
18,170,Real Estate,34
18,173,Transit Station,14
18,173,Hair Salon,11
18,174,Real Estate,11
18,175,Real Estate,12
19,150,Real Estate,18
19,151,Transit Station,14
19,151,Real Estate,14
19,151,Elderly Care Home,13
19,152,Real Estate,28
19,152,Hair Salon,13
19,153,Real Estate,12
19,154,Real Estate,30
19,155,Real Estate,41
19,156,Real Estate,50
19,156,Hair Salon,28
