x,y,category,POI_count
1,59,NPO,10
27,75,Hotel,13
29,1,Building Material,10
31,1,Hair Salon,15
31,1,Heavy Industry,11
31,1,Japanese restaurant,10
31,1,Driving School,9
31,1,Bank,9
38,82,Elderly Care Home,13
40,81,Hair Salon,10
41,80,Church,10
41,81,Japanese restaurant,27
41,81,Bar,18
41,81,Clothes Store,18
41,81,Pub,15
41,81,Wine Bar,9
41,82,Bar,9
41,83,Accountant Office,9
41,85,Heavy Industry,18
41,85,Transit Station,11
41,89,Driving School,9
42,78,Clothes Store,18
42,78,Japanese restaurant,9
42,79,Hair Salon,10
42,79,Real Estate,9
42,80,Accountant Office,9
42,81,Bar,18
42,81,Transit Station,12
42,81,Hair Salon,11
42,81,Japanese restaurant,11
42,81,Hospital,11
42,81,Accountant Office,9
42,82,Church,15
42,82,Bank,11
42,82,Heavy Industry,9
42,88,Real Estate,10
43,80,Cram School,10
43,84,Transit Station,9
44,80,Hair Salon,14
44,81,Real Estate,13
45,71,Heavy Industry,11
45,80,Real Estate,12
45,80,Hospital,9
45,81,Real Estate,11
54,90,Heavy Industry,9
54,92,Hair Salon,9
60,102,Clothes Store,15
60,102,Convenience Store,11
60,102,Bank,10
62,54,Transit Station,9
70,98,NPO,14
71,19,Heavy Industry,9
71,96,Bank,13
71,96,Laundry ,12
71,96,Hospital,9
71,96,Transit Station,9
73,21,Heavy Industry,9
74,21,Heavy Industry,10
74,21,Grocery Store,9
77,94,Clothes Store,11
77,158,Hair Salon,11
78,92,Grocery Store,11
78,93,Hair Salon,11
78,93,Church,10
79,94,Cram School,10
83,95,Real Estate,10
83,120,Hair Salon,9
86,2,Hotel,12
86,2,Grocery Store,9
87,98,Real Estate,11
88,97,Heavy Industry,10
88,97,Church,9
88,97,Hair Salon,9
88,109,Clothes Store,56
88,109,Interior Shop,13
88,109,Bank,12
88,109,Electronics Store,10
88,109,Sweets ,9
88,110,Clothes Store,19
89,97,Interior Shop,9
89,97,Heavy Industry,9
89,98,Real Estate,14
89,109,Hair Salon,13
89,109,Real Estate,11
90,98,Driving School,11
91,98,Driving School,10
91,107,Building Material,9
92,97,Real Estate,18
92,98,Driving School,18
92,99,Heavy Industry,16
92,99,Building Material,9
92,99,Real Estate,9
93,97,Real Estate,18
93,97,Hair Salon,12
93,98,Real Estate,11
93,98,Transit Station,9
93,99,Real Estate,16
93,99,Driving School,11
93,103,Real Estate,10
93,104,Real Estate,10
93,105,Real Estate,12
94,35,Transit Station,14
94,95,Real Estate,13
94,96,Real Estate,12
94,98,Real Estate,14
94,99,Real Estate,16
94,99,Heavy Industry,10
94,99,Driving School,9
94,100,Real Estate,10
94,101,Port,15
94,101,Transit Station,9
94,102,Heavy Industry,17
94,102,Retail Store,14
94,104,Real Estate,21
94,105,Real Estate,16
95,95,Real Estate,11
95,98,Real Estate,14
95,99,Driving School,10
95,99,Real Estate,10
95,100,Heavy Industry,14
95,100,Real Estate,13
95,100,Driving School,9
95,101,Accountant Office,13
95,101,Real Estate,11
95,101,Heavy Industry,11
95,101,Hair Salon,10
95,101,Retail Store,9
95,102,Real Estate,20
95,102,Retail Store,12
95,103,Real Estate,16
95,103,Hair Salon,10
95,103,Transit Station,10
95,104,Real Estate,14
95,105,Real Estate,10
95,105,Driving School,9
95,106,Clothes Store,33
95,106,Convenience Store,11
95,106,Interior Shop,11
95,106,Fishing,9
95,112,Real Estate,9
95,114,Real Estate,9
96,35,Hair Salon,12
96,35,Heavy Industry,11
96,96,Retail Store,16
96,96,Real Estate,15
96,97,Real Estate,15
96,98,Real Estate,11
96,99,Real Estate,12
96,100,Real Estate,15
96,100,Driving School,15
96,101,Real Estate,20
96,101,Heavy Industry,14
96,101,Bank,11
96,101,Accountant Office,10
96,101,Laundry ,10
96,101,Hair Salon,10
96,101,Fishing,9
96,102,Building Material,18
96,102,Real Estate,13
96,102,Elderly Care Home,10
96,103,Real Estate,18
96,104,Real Estate,10
96,107,Real Estate,16
96,112,Real Estate,19
96,112,Hair Salon,18
96,112,Japanese restaurant,15
96,112,Transit Station,13
96,112,Accountant Office,11
96,112,Laundry ,9
96,112,Hospital,9
96,113,Transit Station,26
96,113,Bar,25
96,113,Hair Salon,25
96,113,Real Estate,17
96,113,Japanese restaurant,15
96,113,Accountant Office,14
96,113,Bank,13
96,113,Laundry ,13
96,113,Clothes Store,11
96,113,Grocery Store,10
96,113,Pub,10
96,113,Wine Bar,9
96,113,Fishing,9
96,114,Real Estate,16
96,114,Cram School,11
96,114,Heavy Industry,11
96,114,Hair Salon,10
96,115,Hair Salon,14
96,115,Real Estate,9
96,116,Real Estate,11
97,1,Hair Salon,11
97,34,Hair Salon,10
97,35,Hair Salon,11
97,93,Real Estate,11
97,94,Real Estate,11
97,96,Retail Store,101
97,96,Grocery Store,25
97,96,Heavy Industry,18
97,96,NPO,14
97,96,Interior Shop,11
97,96,Bank,11
97,97,Transit Station,12
97,97,Real Estate,10
97,97,Hair Salon,9
97,97,Hospital,9
97,99,Real Estate,11
97,100,Laundry ,15
97,100,Driving School,12
97,100,Real Estate,10
97,101,Real Estate,18
97,101,Heavy Industry,10
97,102,Real Estate,10
97,103,Real Estate,20
97,104,Real Estate,35
97,105,Real Estate,18
97,106,Real Estate,9
97,107,Real Estate,17
97,110,Real Estate,20
97,110,NPO,13
97,110,Transit Station,12
97,110,Heavy Industry,10
97,111,Real Estate,23
97,111,Transit Station,13
97,112,Real Estate,13
97,113,Transit Station,13
97,113,NPO,9
97,115,Accountant Office,9
97,115,Laundry ,9
97,115,Hair Salon,9
97,116,Real Estate,12
98,34,Accountant Office,16
98,34,Japanese restaurant,11
98,35,Japanese restaurant,18
98,35,Pub,11
98,35,NPO,10
98,35,Bar,9
98,98,Clothes Store,59
98,98,Transit Station,29
98,98,Sweets ,23
98,98,Japanese restaurant,19
98,98,Bar,17
98,98,Café,13
98,98,Western restaurant,12
98,98,Bank,11
98,98,Interior Shop,10
98,98,Hospital,9
98,98,Grocery Store,9
98,99,Transit Station,23
98,99,Real Estate,21
98,100,Real Estate,10
98,101,Real Estate,18
98,101,Accountant Office,9
98,102,Real Estate,19
98,102,Heavy Industry,11
98,102,Accountant Office,9
98,103,Real Estate,29
98,103,Transit Station,22
98,103,Accountant Office,16
98,103,Heavy Industry,11
98,103,Hospital,10
98,104,Real Estate,20
98,105,Real Estate,11
98,106,Real Estate,20
98,107,Real Estate,26
98,107,Transit Station,15
98,107,Japanese restaurant,9
98,107,Hair Salon,9
98,108,Real Estate,14
98,108,Accountant Office,12
98,108,Heavy Industry,12
98,108,Transit Station,9
98,108,Building Material,9
98,109,NPO,21
98,109,Accountant Office,17
98,109,Real Estate,14
98,109,Building Material,13
98,109,Bank,10
98,109,Transit Station,10
98,109,Heavy Industry,9
98,110,Real Estate,25
98,110,Bank,23
98,110,Accountant Office,19
98,110,Building Material,14
98,110,Heavy Industry,13
98,110,Transit Station,9
98,111,Real Estate,19
98,111,Building Material,17
98,111,Accountant Office,13
98,111,Home Appliances,9
98,112,Real Estate,21
98,112,Accountant Office,12
98,112,Heavy Industry,9
98,115,Real Estate,10
99,98,Transit Station,40
99,98,Real Estate,21
99,99,Transit Station,29
99,99,Real Estate,15
99,99,Accountant Office,9
99,99,Cram School,9
99,100,Real Estate,29
99,100,Church,14
99,100,Accountant Office,13
99,100,NPO,11
99,100,Transit Station,11
99,101,Real Estate,39
99,101,Transit Station,22
99,101,Heavy Industry,14
99,102,Real Estate,52
99,102,Transit Station,24
99,102,Hospital,13
99,103,Real Estate,23
99,103,Transit Station,16
99,103,Building Material,9
